#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       5.576302930136e+00       1.215280555501e-05      -1.210384377928e+00       1.670621833975e-06       1.941380036007e-10       4.853450090017e-10       3.173557370525e-17       9.706900180034e-11      -9.077882834462e-01       1.670621833983e-06       6.012301025747e-01       6.974054598297e-01      -1.210384377924e+00       1.670619482593e-06       1.243447690052e-06      -9.077882834529e-01       1.670626582730e-06 
       5.985882597061e+00       1.305502311504e-05      -1.210973636634e+00       1.792907652486e-06       2.404262526731e-10       6.010656316827e-10       4.535444675769e-17       1.202131263365e-10      -9.082302274753e-01       1.792907652501e-06       6.012378025352e-01       6.972583815858e-01      -1.210973636628e+00       1.792904740812e-06       1.432593169447e-06      -9.082302274841e-01       1.792913520254e-06 
       6.395462263986e+00       1.395855353430e-05      -1.211561711416e+00       1.915136371004e-06       2.935881638988e-10       7.339704097471e-10       6.331433822612e-17       1.467940819494e-10      -9.086712835622e-01       1.915136371012e-06       6.012454503684e-01       6.971116160141e-01      -1.211561711409e+00       1.915132815942e-06       1.635091612569e-06      -9.086712835737e-01       1.915143520110e-06 
       6.805041930912e+00       1.486339681279e-05      -1.212148607796e+00       2.037308097913e-06       3.541115984877e-10       8.852789962192e-10       8.658825603225e-17       1.770557992438e-10      -9.091114558468e-01       2.037308097983e-06       6.012530443724e-01       6.969651617267e-01      -1.212148607786e+00       2.037303810492e-06       1.850936766985e-06      -9.091114558615e-01       2.037316701427e-06 
       7.221689139765e+00       1.578520073875e-05      -1.212744399738e+00       2.161529561433e-06       4.237383367771e-10       1.059345841943e-09       1.168639797319e-16       2.118691683885e-10      -9.095582998037e-01       2.161529561599e-06       6.012607211145e-01       6.968165053141e-01      -1.212744399726e+00       2.161524431641e-06       2.084194171817e-06      -9.095582998223e-01       2.161539833066e-06 
       7.638336348618e+00       1.670836322319e-05      -1.213338943849e+00       2.285692205017e-06       5.020083562461e-10       1.255020890615e-09       1.551177361829e-16       2.510041781230e-10      -9.100042078868e-01       2.285692205247e-06       6.012683520496e-01       6.966681781075e-01      -1.213338943834e+00       2.285686128447e-06       2.331249851167e-06      -9.100042079101e-01       2.285704346149e-06 
       8.054983557471e+00       1.763288426612e-05      -1.213932227183e+00       2.409796095318e-06       5.894424052738e-10       1.473606013184e-09       2.028480262912e-16       2.947212026369e-10      -9.104491703876e-01       2.409796095573e-06       6.012759406467e-01       6.965201833350e-01      -1.213932227164e+00       2.409788961301e-06       2.592097252231e-06      -9.104491704163e-01       2.409810318490e-06 
       8.471630766324e+00       1.855876386753e-05      -1.214524310288e+00       2.533841452747e-06       6.865636978861e-10       1.716409244715e-09       2.617348931623e-16       3.432818489431e-10      -9.108932327163e-01       2.533841453022e-06       6.012834741050e-01       6.963725058515e-01      -1.214524310265e+00       2.533833144330e-06       2.866729835267e-06      -9.108932327515e-01       2.533857981619e-06 
       8.888277975177e+00       1.948600202743e-05      -1.215115167613e+00       2.657828323582e-06       7.938978391340e-10       1.984744597835e-09       3.336512856491e-16       3.969489195670e-10      -9.113363757100e-01       2.657828323895e-06       6.012909585864e-01       6.962251520368e-01      -1.215115167585e+00       2.657818717498e-06       3.155141075254e-06      -9.113363757526e-01       2.657847392878e-06 
       9.304925184030e+00       2.041459874581e-05      -1.215704799660e+00       2.781756805569e-06       9.119728778733e-10       2.279932194683e-09       4.206746236859e-16       4.559864389366e-10      -9.117785997450e-01       2.781756805936e-06       6.012983950092e-01       6.960781217571e-01      -1.215704799626e+00       2.781745772215e-06       3.457324456661e-06      -9.117785997961e-01       2.781778661033e-06 
       9.721572392883e+00       2.134455402267e-05      -1.216293241589e+00       2.905627082681e-06       1.041319328832e-09       2.603298322081e-09       5.250985218642e-16       5.206596644162e-10      -9.122199311918e-01       2.905627083105e-06       6.013057768635e-01       6.959314062143e-01      -1.216293241548e+00       2.905614486089e-06       3.773273473112e-06      -9.122199312526e-01       2.905651981026e-06 
       1.037589929777e+01       2.280775175501e-05      -1.217214888827e+00       3.100042708529e-06       1.268483646009e-09       3.171209115022e-09       7.303525049435e-16       6.342418230044e-10      -9.129111666201e-01       3.100042709040e-06       6.013172781825e-01       6.957016493527e-01      -1.217214888774e+00       3.100027367151e-06       4.297227026584e-06      -9.129111666989e-01       3.100072929962e-06 
       1.103022620266e+01       2.427430015184e-05      -1.218133582385e+00       3.294315353219e-06       1.526838491588e-09       3.817096228971e-09       9.957933721226e-16       7.634192457941e-10      -9.136001867887e-01       3.294315353822e-06       6.013286554327e-01       6.954726732992e-01      -1.218133582317e+00       3.294296891084e-06       4.855090143482e-06      -9.136001868892e-01       3.294351599868e-06 
       1.168455310754e+01       2.574419921314e-05      -1.219049333676e+00       3.488445424463e-06       1.818475077801e-09       4.546187694502e-09       1.333978482218e-15       9.092375389004e-10      -9.142870002573e-01       3.488445425184e-06       6.013399097511e-01       6.952444751693e-01      -1.219049333591e+00       3.488423440576e-06       5.446837780132e-06      -9.142870003837e-01       3.488488440231e-06 
       1.233888001243e+01       2.721744893892e-05      -1.219962134989e+00       3.682433266141e-06       2.145499478451e-09       5.363748696127e-09       1.759162436569e-15       1.072749739225e-09      -9.149716012417e-01       3.682433267018e-06       6.013510464888e-01       6.950170568603e-01      -1.219962134883e+00       3.682407334330e-06       6.072444962171e-06      -9.149716013987e-01       3.682483836410e-06 
       1.299320691732e+01       2.869404932918e-05      -1.220872002011e+00       3.876279285256e-06       2.510032714924e-09       6.275081787310e-09       2.287419184072e-15       1.255016357462e-09      -9.156540015086e-01       3.876279286327e-06       6.013620661595e-01       6.947904144187e-01      -1.220872001881e+00       3.876248954023e-06       6.731886767708e-06      -9.156540017013e-01       3.876338236604e-06 
       1.364753382220e+01       3.017400038392e-05      -1.221778965838e+00       4.069983943064e-06       2.914210793647e-09       7.285526984117e-09       2.936766662004e-15       1.457105396823e-09      -9.163342243784e-01       4.069983944363e-06       6.013729659963e-01       6.945645400403e-01      -1.221778965679e+00       4.069948735428e-06       7.425138329796e-06      -9.163342246128e-01       4.070052142974e-06 
       1.430186072709e+01       3.165730210314e-05      -1.222683027625e+00       4.263547600197e-06       3.360184627924e-09       8.400461569811e-09       3.727293895505e-15       1.680092313962e-09      -9.170122707188e-01       4.263547601761e-06       6.013837496169e-01       6.943394334050e-01      -1.222683027433e+00       4.263507013542e-06       8.152174846292e-06      -9.170122710010e-01       4.263625956768e-06 
       1.551765195879e+01       3.442229113461e-05      -1.224355198022e+00       4.622831223134e-06       4.307225450202e-09       1.076806362550e-08       5.648847458176e-15       2.153612725101e-09      -9.182663985168e-01       4.622831225305e-06       6.014034782874e-01       6.939231914856e-01      -1.224355197756e+00       4.622779219099e-06       9.592690007043e-06      -9.182663989069e-01       4.622931000356e-06 
       1.673344319048e+01       3.719884819589e-05      -1.226017494178e+00       4.981632025253e-06       5.420084877606e-09       1.355021219401e-08       8.301331733010e-15       2.710042438803e-09      -9.195131206338e-01       4.981632028219e-06       6.014228113743e-01       6.935095636332e-01      -1.226017493817e+00       4.981566612661e-06       1.114960285369e-05      -9.195131211601e-01       4.981756753479e-06 
       1.794923442218e+01       3.998697328698e-05      -1.227670010716e+00       5.339952584183e-06       6.712974548451e-09       1.678243637113e-08       1.188050117750e-14       3.356487274226e-09      -9.207525080373e-01       5.339952588209e-06       6.014417520019e-01       6.930985259969e-01      -1.227670010236e+00       5.339871603277e-06       1.282275602975e-05      -9.207525087322e-01       5.340106046534e-06 
       1.916502565387e+01       4.278666640789e-05      -1.229312804412e+00       5.697795288048e-06       8.200285907034e-09       2.050071476758e-08       1.661608069567e-14       4.100142953517e-09      -9.219846033093e-01       5.697795293458e-06       6.014603116130e-01       6.926900641885e-01      -1.229312803787e+00       5.697696408710e-06       1.461199286049e-05      -9.219846042103e-01       5.697981517068e-06 
       2.038081688557e+01       4.559792755862e-05      -1.230945994836e+00       6.055162804451e-06       9.896591321467e-09       2.474147830367e-08       2.277500814906e-14       4.948295660734e-09      -9.232094961267e-01       6.055162811639e-06       6.014784878265e-01       6.922841481227e-01      -1.230945994034e+00       6.055043524438e-06       1.651715737410e-05      -9.232094972762e-01       6.055386078803e-06 
       2.159660811726e+01       4.842075673915e-05      -1.232569638349e+00       6.412057482411e-06       1.181664378215e-08       2.954160945537e-08       3.066478928045e-14       5.908321891075e-09      -9.244272287615e-01       6.412057491835e-06       6.014962916808e-01       6.918807635165e-01      -1.232569637335e+00       6.411915125592e-06       1.853809431277e-05      -9.244272302073e-01       6.412322323582e-06 
       2.281239934896e+01       5.125515394951e-05      -1.234183835297e+00       6.768481881119e-06       1.397537818789e-08       3.493844546973e-08       4.063697293882e-14       6.987689093947e-09      -9.256378764726e-01       6.768481893327e-06       6.015137242821e-01       6.914798850927e-01      -1.234183834032e+00       6.768313595736e-06       2.067464914108e-05      -9.256378782680e-01       6.768793050165e-06 
       2.407785255276e+01       5.421761552680e-05      -1.235854019838e+00       7.138968445098e-06       1.649207302551e-08       4.123018256378e-08       5.365853017271e-14       8.246036512756e-09      -9.268905148782e-01       7.138968460894e-06       6.015314805589e-01       6.910652721799e-01      -1.235854018263e+00       7.138769952199e-06       2.302110956340e-05      -9.268905171006e-01       7.139333145528e-06 
       2.534330575656e+01       5.719260948438e-05      -1.237514148846e+00       7.508950921482e-06       1.930098156685e-08       4.825245391712e-08       6.987823330346e-14       9.650490783424e-09      -9.281356116342e-01       7.508950941696e-06       6.015488456428e-01       6.906533293216e-01      -1.237514146909e+00       7.508718737427e-06       2.549248683751e-05      -9.281356143550e-01       7.509374830058e-06 
       2.660875896036e+01       6.018013582225e-05      -1.239164297705e+00       7.878431936025e-06       2.241957443687e-08       5.604893609218e-08       8.987034063437e-14       1.120978721844e-08      -9.293732232786e-01       7.878431961627e-06       6.015658281724e-01       6.902440374599e-01      -1.239164295345e+00       7.878162373179e-06       2.808860907709e-05      -9.293732265763e-01       7.878920988570e-06 
       2.787421216416e+01       6.318019454040e-05      -1.240804573340e+00       8.247414304984e-06       2.586553827004e-08       6.466384567510e-08       1.142789218072e-13       1.293276913502e-08      -9.306034300050e-01       8.247414337098e-06       6.015824296617e-01       6.898373696526e-01      -1.240804570491e+00       8.247103469723e-06       3.080930518917e-05      -9.306034339660e-01       8.247974692678e-06 
       2.913966536796e+01       6.619278563884e-05      -1.242435067348e+00       8.615900740891e-06       2.965677559605e-08       7.414193899012e-08       1.438228675178e-13       1.482838779802e-08      -9.318263005113e-01       8.615900780816e-06       6.015986546281e-01       6.894333027906e-01      -1.242435063937e+00       8.615544531619e-06       3.365440488430e-05      -9.318263052300e-01       8.616538906598e-06 
       3.040511857176e+01       6.921790911757e-05      -1.244055842781e+00       8.983893729161e-06       3.381140484426e-08       8.452851211066e-08       1.793010630491e-13       1.690570242213e-08      -9.330418820859e-01       8.983893778384e-06       6.016145135277e-01       6.890318209024e-01      -1.244055838728e+00       8.983487834346e-06       3.662373864509e-05      -9.330418876648e-01       8.984616363786e-06 
       3.167057177556e+01       7.225556497658e-05      -1.245667015148e+00       9.351396130568e-06       3.834776305522e-08       9.586940763805e-08       2.215977434602e-13       1.917388152761e-08      -9.342502613613e-01       9.351396190786e-06       6.016300051446e-01       6.886328949031e-01      -1.245667010365e+00       9.350936026785e-06       3.971713772495e-05      -9.342502679117e-01       9.352210169444e-06 
       3.342074114695e+01       7.647740956965e-05      -1.247879636620e+00       9.858862020814e-06       4.528529166862e-08       1.132132291716e-07       2.931610061512e-13       2.264264583431e-08      -9.359097274658e-01       9.858862099462e-06       6.016508399785e-01       6.880853431144e-01      -1.247879630669e+00       9.858319092061e-06       4.419956211248e-05      -9.359097355598e-01       9.859814350982e-06 
       3.517091051833e+01       8.072322601230e-05      -1.250074241147e+00       1.036540114726e-05       5.303828236501e-08       1.325957059125e-07       3.825332289825e-13       2.651914118250e-08      -9.375556808605e-01       1.036540124869e-05       6.016710025721e-01       6.875425913421e-01      -1.250074233822e+00       1.036476576013e-05       4.891853462082e-05      -9.375556907525e-01       1.036650612072e-05 
       3.692107988972e+01       8.499301430453e-05      -1.252251080107e+00       1.087102059936e-05       6.165731123044e-08       1.541432780761e-07       4.929850414453e-13       3.082865561522e-08      -9.391883100809e-01       1.087102072867e-05       6.016904989350e-01       6.870045762025e-01      -1.252251071182e+00       1.087028254174e-05       5.387361603213e-05      -9.391883220511e-01       1.087229318125e-05 
