#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_cdm             14:theta_cdm             15:delta_ncdm[0]         16:theta_ncdm[0]         17:shear_ncdm[0]         18:cs2_ncdm[0]        
       2.425835959168e-01       5.580309075860e-07      -1.181956046326e+00       7.163537464968e-04       1.768423581604e-10       4.421058954010e-10       6.139237515470e-18       8.842117908020e-11      -8.864670347446e-01       7.163537464898e-04       5.912109884197e-01       7.045399531113e-01      -8.864670371476e-01       7.163933649727e-04      -1.181956246998e+00       7.163349343246e-04       2.319505714786e-05       3.333333333333e-01 
       2.530363167726e-01       5.820863344470e-07      -1.181987257664e+00       7.472127332256e-04       2.007063113312e-10       5.017657783281e-10       7.581366065751e-18       1.003531556656e-10      -8.864904432480e-01       7.472127332181e-04       5.912106913589e-01       7.045346999854e-01      -8.864904460927e-01       7.472576956649e-04      -1.181987475854e+00       7.471913823719e-04       2.523681817946e-05       3.333333333333e-01 
       2.634890376283e-01       6.061426163750e-07      -1.182019137257e+00       7.780708537877e-04       2.266263732220e-10       5.665659330551e-10       9.282644484766e-18       1.133131866110e-10      -8.865143529429e-01       7.780708537795e-04       5.912103576880e-01       7.045293873146e-01      -8.865143562874e-01       7.781216202311e-04      -1.182019373677e+00       7.780467455057e-04       2.736466861549e-05       3.333333333333e-01 
       2.779999938288e-01       6.395400900768e-07      -1.182064526437e+00       8.209080789119e-04       2.661774931613e-10       6.654437329032e-10       1.213720000813e-17       1.330887465806e-10      -8.865483948274e-01       8.209080789029e-04       5.912098284864e-01       7.045219071399e-01      -8.865483989718e-01       8.209677009009e-04      -1.182064789343e+00       8.208797630739e-04       3.046135714765e-05       3.333333333333e-01 
       2.925109500293e-01       6.729392116884e-07      -1.182111250496e+00       8.637435621393e-04       3.100825572762e-10       7.752063931904e-10       1.565455179221e-17       1.550412786381e-10      -8.865834378723e-01       8.637435621293e-04       5.912092209972e-01       7.045143004434e-01      -8.865834429520e-01       8.638130136119e-04      -1.182111541246e+00       8.637105755252e-04       3.372394150834e-05       3.333333333333e-01 
       3.070219062297e-01       7.063399812099e-07      -1.182159335658e+00       9.065772674105e-04       3.585690804333e-10       8.964227010832e-10       1.994398996487e-17       1.792845402166e-10      -8.866195017434e-01       9.065772673997e-04       5.912085292850e-01       7.045065606610e-01      -8.866195079083e-01       9.066575730592e-04      -1.182159655604e+00       9.065391225878e-04       3.715241125166e-05       3.333333333333e-01 
       3.215328624302e-01       7.397423986412e-07      -1.182208740051e+00       9.494091061941e-04       4.118645747148e-10       1.029661436787e-09       2.512621617867e-17       2.059322873574e-10      -8.866565550384e-01       9.494091061823e-04       5.912077606560e-01       7.044986982522e-01      -8.866565624539e-01       9.495013414568e-04      -1.182209090535e+00       9.493652915159e-04       4.074675638532e-05       3.333333333333e-01 
       3.360438186307e-01       7.731464639823e-07      -1.182259426754e+00       9.922389865417e-04       4.701965615131e-10       1.175491403783e-09       3.133391257618e-17       2.350982807566e-10      -8.866945700653e-01       9.922389865289e-04       5.912069225874e-01       7.044907224395e-01      -8.866945789125e-01       9.923442775934e-04      -1.182259809104e+00       9.921889661461e-04       4.450696586777e-05       3.333333333333e-01 
       3.505547748311e-01       8.065521772333e-07      -1.182311439167e+00       1.035066884563e-03       5.337926061066e-10       1.334481515266e-09       3.871231296986e-17       2.668963030533e-10      -8.867335793756e-01       1.035066884549e-03       5.912060063437e-01       7.044826223622e-01      -8.867335898525e-01       1.035186408307e-03      -1.182311854704e+00       1.035010098367e-03       4.843302773716e-05       3.333333333333e-01 
       3.650657310316e-01       8.399595383942e-07      -1.182364804179e+00       1.077892766359e-03       6.028802872037e-10       1.507200718009e-09       4.741977038143e-17       3.014401436019e-10      -8.867736031346e-01       1.077892766345e-03       5.912050074801e-01       7.044743912873e-01      -8.867736154565e-01       1.078027750420e-03      -1.182365254213e+00       1.077828630059e-03       5.252492890751e-05       3.333333333333e-01 
