# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.0192e-06 to 20.5861 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_tot                  7:phi                    8:psi                
       6.625982637031e-03       4.396117780668e-01      -4.287761856335e+02      -4.289894109620e+02       2.956826791699e-01      -4.288105250395e+02       3.513955592825e-01       3.513955701921e-01 
       6.734862161292e-03       4.378839076013e-01      -4.412373688120e+02      -4.414628550477e+02       3.051330819474e-01      -4.412778071810e+02       3.500145188133e-01       3.500145321748e-01 
       6.843826966702e-03       4.361611361995e-01      -4.538328214843e+02      -4.540711012666e+02       3.229542010600e-01      -4.538797599444e+02       3.486375406518e-01       3.486375579444e-01 
       6.952873723089e-03       4.344435347954e-01      -4.665603584141e+02      -4.668119767895e+02       3.258783764215e-01      -4.666142130324e+02       3.472646946351e-01       3.472647115033e-01 
       7.061999305920e-03       4.327311692825e-01      -4.794178105673e+02      -4.796833149255e+02       3.114925455019e-01      -4.794790005043e+02       3.458960340630e-01       3.458960460268e-01 
       7.171200782259e-03       4.310241510309e-01      -4.924030568937e+02      -4.926830180175e+02       3.015636871452e-01      -4.924720181686e+02       3.445316373722e-01       3.445316453053e-01 
       7.280475397874e-03       4.293225662041e-01      -5.055140025418e+02      -5.058089902894e+02       3.139698929927e-01      -5.055911682077e+02       3.431715662529e-01       3.431715748814e-01 
       7.389820565363e-03       4.276263584248e-01      -5.187482996767e+02      -5.190589096801e+02       3.445840062666e-01      -5.188341259184e+02       3.418157139741e-01       3.418157401304e-01 
       7.499233853231e-03       4.259355693741e-01      -5.321041005125e+02      -5.324309332609e+02       3.097210337887e-01      -5.321990617790e+02       3.404642922253e-01       3.404643233737e-01 
       7.608712975823e-03       4.242503361629e-01      -5.455793133925e+02      -5.459229910363e+02       2.009219998266e-01      -5.456839044220e+02       3.391173291012e-01       3.391173490144e-01 
