# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.419245727533e+04       1.799117774967e-10       1.119581198712e+18       3.392198973006e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       3.669988173570e-08       7.371096612945e+43       1.802652897535e+44       2.683825576019e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832008e+22       1.419245727533e+04       1.811711599392e-10       1.111798608453e+18       3.415944365817e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       3.669988173570e-08       7.168267791965e+43       1.753049699933e+44       2.762761622372e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.419245727533e+04       1.824393580587e-10       1.104070117629e+18       3.439855976377e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       3.669988173570e-08       6.971020166400e+43       1.704811422452e+44       2.841697668725e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.419245727533e+04       1.837164335651e-10       1.096395350178e+18       3.463934968211e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       3.669988173570e-08       6.779200159740e+43       1.657900506890e+44       2.920633715079e-06       3.874501663684e+00 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050793e+22       1.419245727533e+04       1.850024486001e-10       1.088773932649e+18       3.488182512989e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       3.669988173570e-08       6.592658421409e+43       1.612280428526e+44       2.999569761432e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370436552e-25       6.084519554861e-09       1.252164393233e+22       1.419245727533e+04       1.862974657403e-10       1.081205494190e+18       3.512599790580e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       3.669988173570e-08       6.411249710473e+43       1.567915667680e+44       3.078505807786e-06       3.675809270674e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       1.419245727533e+04       1.876015480005e-10       1.073689666524e+18       3.537187989113e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       3.669988173570e-08       6.234832782562e+43       1.524771682061e+44       3.157441854139e-06       3.583914038907e+00 
       7.512624933457e+13       1.339221495663e-25       6.170012056828e-09       1.217708864987e+22       1.419245727533e+04       1.889147588365e-10       1.066226083937e+18       3.561948305037e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       3.669988173570e-08       6.063270279898e+43       1.482814879868e+44       3.236377900492e-06       3.496501501373e+00 
       7.460402118627e+13       1.358036218455e-25       6.211848813109e-09       1.200838287881e+22       1.419245727533e+04       1.902371621483e-10       1.058814383254e+18       3.586881943172e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       3.669988173570e-08       5.896428624344e+43       1.442012593641e+44       3.315313946846e-06       3.413251465626e+00 
       7.408542322370e+13       1.377115269288e-25       6.255504558794e-09       1.184201441825e+22       1.419245727533e+04       1.915688222834e-10       1.051454203827e+18       3.611990116774e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       3.669988173570e-08       5.734177913402e+43       1.402333054820e+44       3.394249993199e-06       3.333873524565e+00 
       7.357043021222e+13       1.396462361707e-25       6.299160304479e-09       1.167795088625e+22       1.419245727533e+04       1.929098040394e-10       1.044145187515e+18       3.637274047591e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       3.669988173570e-08       5.576391819075e+43       1.363745369017e+44       3.473186039552e-06       3.258103671734e+00 
       7.305901709257e+13       1.416081261426e-25       6.344635039568e-09       1.151616034950e+22       1.419245727533e+04       1.942601726676e-10       1.036886978664e+18       3.662734965924e-09       7.839247429430e+43       9.701035002624e+32       5.133591955499e+33       3.669988173570e-08       5.422947489502e+43       1.326219491954e+44       3.552122085906e-06       3.185701367918e+00 
       7.255115897971e+13       1.435975787068e-25       6.388290785253e-09       1.135661131711e+22       1.419245727533e+04       1.956199938763e-10       1.029679224095e+18       3.688374110685e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       3.669988173570e-08       5.273725453313e+43       1.289726206079e+44       3.631058132259e-06       3.116446990354e+00 
       7.204683116158e+13       1.456149810900e-25       6.433765520342e-09       1.119927273446e+22       1.419245727533e+04       1.969893338334e-10       1.022521573084e+18       3.714192729460e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       3.669988173570e-08       5.128609526601e+43       1.254237097809e+44       3.709994178613e-06       3.050139607581e+00 
       7.154600909790e+13       1.476607259593e-25       6.477421266027e-09       1.104411397720e+22       1.419245727533e+04       1.983682591703e-10       1.015413677342e+18       3.740192078566e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       3.669988173570e-08       4.987486722469e+43       1.219724535414e+44       3.788930224966e-06       2.986595032423e+00 
       7.104866841896e+13       1.497352114983e-25       6.522896001115e-09       1.089110484523e+22       1.419245727533e+04       1.997568369845e-10       1.008355191005e+18       3.766373423116e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       3.669988173570e-08       4.850247163053e+43       1.186161647498e+44       3.867866271319e-06       2.925644113394e+00 
       7.055478492449e+13       1.518388414847e-25       6.568370736204e-09       1.074021555687e+22       1.419245727533e+04       2.011551348434e-10       1.001345770611e+18       3.792738037077e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       3.669988173570e-08       4.716783993974e+43       1.153522302081e+44       3.946802317673e-06       2.867131231126e+00 
       7.006433458242e+13       1.539720253687e-25       6.615664460696e-09       1.059141674305e+22       1.419245727533e+04       2.025632207873e-10       9.943850750854e+17       3.819287203336e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       3.669988173570e-08       4.586993301144e+43       1.121781086250e+44       4.025738364026e-06       2.810912971693e+00 
       6.957729352772e+13       1.561351783531e-25       6.661139195785e-09       1.044467944158e+22       1.419245727533e+04       2.039811633328e-10       9.874727657253e+17       3.846022213760e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       3.669988173570e-08       4.460774029851e+43       1.090913286374e+44       4.104674410379e-06       2.756856953006e+00 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       1.419245727533e+04       2.054090314761e-10       9.806085061820e+17       3.872944369256e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       3.669988173570e-08       4.338027906086e+43       1.060894868860e+44       4.183610456733e-06       2.704840784082e+00 
       6.861334464875e+13       1.605530816817e-25       6.755726644769e-09       1.015727552764e+22       1.419245727533e+04       2.068468946964e-10       9.737919624449e+17       3.900054979840e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       3.669988173570e-08       4.218659360024e+43       1.031702461443e+44       4.262546503086e-06       2.654751139932e+00 
