# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       7.512624933457e+13       1.339341905893e-25       6.170012056828e-09       1.217599389875e+22       1.419311605844e+04       1.889235278502e-10       1.066275575841e+18       3.562268562005e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       6.060604223464e+43       2.020201407821e+43       3.667546103802e-08       1.482548274225e+44       3.235471912352e-06       3.496501501373e+00 
       7.460402118627e+13       1.358158320329e-25       6.213667802513e-09       1.200730329477e+22       1.419311605844e+04       1.902459925451e-10       1.058863531123e+18       3.587204441939e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       5.893835929190e+43       1.964611976397e+43       3.667546103802e-08       1.441753324125e+44       3.314385861434e-06       3.413251465626e+00 
       7.408542322370e+13       1.377239086571e-25       6.257323548198e-09       1.184094979115e+22       1.419311605844e+04       1.915777144929e-10       1.051503010053e+18       3.612314873032e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       5.731656560862e+43       1.910552186954e+43       3.667546103802e-08       1.402080919566e+44       3.393299810515e-06       3.333873524565e+00 
       7.357043021222e+13       1.396587918498e-25       6.300979293883e-09       1.167690100888e+22       1.419311605844e+04       1.929187584944e-10       1.044193654471e+18       3.637601077143e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       5.573939846030e+43       1.857979948677e+43       3.667546103802e-08       1.363500171712e+44       3.472213759597e-06       3.258103671734e+00 
       7.305901709257e+13       1.416208582165e-25       6.344635039568e-09       1.151512501751e+22       1.419311605844e+04       1.942691898038e-10       1.036935108710e+18       3.663064284683e-09       7.839247429430e+43       9.701035002624e+32       5.133591955499e+33       5.420562986853e+43       1.806854328951e+43       3.667546103802e-08       1.325981041689e+44       3.551127708679e-06       3.185701367918e+00 
       7.255115897971e+13       1.436104896536e-25       6.388290785253e-09       1.135559032898e+22       1.419311605844e+04       1.956290741325e-10       1.029727019573e+18       3.688705734675e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       5.271406564491e+43       1.757135521497e+43       3.667546103802e-08       1.289494317197e+44       3.630041657760e-06       3.116446990354e+00 
       7.204683116158e+13       1.456280734227e-25       6.433765520342e-09       1.119826589147e+22       1.419311605844e+04       1.969984776514e-10       1.022569036319e+18       3.714526674818e-09       7.413761450905e+43       9.303390454300e+32       4.923166485034e+33       5.126354446125e+43       1.708784815375e+43       3.667546103802e-08       1.254011589762e+44       3.708955606842e-06       3.050139607581e+00 
       7.154600909790e+13       1.476740022262e-25       6.479240255430e-09       1.104312108338e+22       1.419311605844e+04       1.983774669949e-10       1.015460810645e+18       3.740528361541e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       4.985293694539e+43       1.661764564846e+43       3.667546103802e-08       1.219505232621e+44       3.787869555924e-06       2.986595032423e+00 
       7.104866841896e+13       1.497486742835e-25       6.524714990519e-09       1.089012570732e+22       1.419311605844e+04       1.997661092639e-10       1.008401996668e+18       3.766712060072e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       4.848114480184e+43       1.616038160061e+43       3.667546103802e-08       1.185948379211e+44       3.866783505005e-06       2.925644113394e+00 
       7.055478492449e+13       1.518524934085e-25       6.570189725608e-09       1.073924998429e+22       1.419311605844e+04       2.011644720288e-10       1.001392250911e+18       3.793079044492e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       4.714709995664e+43       1.571569998555e+43       3.667546103802e-08       1.153314902250e+44       3.945697454087e-06       2.867131231126e+00 
       7.006433458242e+13       1.539858690884e-25       6.615664460696e-09       1.059046454786e+22       1.419311605844e+04       2.025726233330e-10       9.944312322855e+17       3.819630597803e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       4.584976372582e+43       1.528325457527e+43       3.667546103802e-08       1.121579393394e+44       4.024611403168e-06       2.810912971693e+00 
       6.957729352772e+13       1.561492165632e-25       6.662958185188e-09       1.044374043844e+22       1.419311605844e+04       2.039906316963e-10       9.875186020710e+17       3.846368011988e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       4.458812600662e+43       1.486270866887e+43       3.667546103802e-08       1.090717143455e+44       4.103525352250e-06       2.756856953006e+00 
       6.909363806129e+13       1.583429569067e-25       6.708432920277e-09       1.029904909767e+22       1.419311605844e+04       2.054185661182e-10       9.806540239036e+17       3.873292588071e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       4.336120449107e+43       1.445373483036e+43       3.667546103802e-08       1.060704123162e+44       4.182439301332e-06       2.704840784082e+00 
       6.861334464875e+13       1.605675171083e-25       6.755726644769e-09       1.015636236283e+22       1.419311605844e+04       2.068564960810e-10       9.738371637573e+17       3.900405636188e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       4.216804390113e+43       1.405601463371e+43       3.667546103802e-08       1.031516964452e+44       4.261353250413e-06       2.654751139932e+00 
       6.813638991932e+13       1.628233301561e-25       6.803020369262e-09       1.001565246141e+22       1.419311605844e+04       2.083044915536e-10       9.670676899278e+17       3.927708475641e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       4.100771524495e+43       1.366923841498e+43       3.667546103802e-08       1.003132942277e+44       4.340267199495e-06       2.606482937388e+00 
       6.766275066466e+13       1.651108351215e-25       6.850314093754e-09       9.876892005620e+21       1.419311605844e+04       2.097626229944e-10       9.603452730167e+17       3.955202434970e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       3.987931509352e+43       1.329310503117e+43       3.667546103802e-08       9.755299569069e+43       4.419181148577e-06       2.559938599220e+00 
       6.719240383780e+13       1.674304772441e-25       6.899426807649e-09       9.740053987156e+21       1.419311605844e+04       2.112309613554e-10       9.536695859153e+17       3.982888852014e-09       5.608668679066e+43       7.546700792321e+32       3.993561766094e+33       3.878196487731e+43       1.292732162577e+43       3.667546103802e-08       9.486865167272e+43       4.498095097658e-06       2.515027395725e+00 
       6.672532655193e+13       1.697827080189e-25       6.946720532142e-09       9.605111771875e+21       1.419311605844e+04       2.127095780849e-10       9.470403037888e+17       4.010769073978e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       3.771481020218e+43       1.257160340073e+43       3.667546103802e-08       9.225817215021e+43       4.577009046740e-06       2.471664854420e+00 
       6.626149607938e+13       1.721679852838e-25       6.995833246037e-09       9.472039094636e+21       1.419311605844e+04       2.141985451315e-10       9.404571040603e+17       4.038844457496e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       3.667702018415e+43       1.222567339472e+43       3.667546103802e-08       8.971952461032e+43       4.655922995822e-06       2.429772229769e+00 
       6.580088985043e+13       1.745867733090e-25       7.044945959933e-09       9.340810054187e+21       1.419311605844e+04       2.156979349474e-10       9.339196663956e+17       4.067116368698e-09       5.158294566141e+43       7.087480820724e+32       3.750551824231e+33       3.566778680252e+43       1.188926226751e+43       3.667546103802e-08       8.725073246839e+43       4.734836944903e-06       2.389276025940e+00 
       6.534348545226e+13       1.770395428872e-25       7.094058673829e-09       9.211399108118e+21       1.419311605844e+04       2.172078204920e-10       9.274276726868e+17       4.095586183279e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       3.468632427069e+43       1.156210809023e+43       3.667546103802e-08       8.484987352904e+43       4.813750893985e-06       2.350107566498e+00 
