# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=8.06198e-06 to 23.1673 h/Mpc,
# number of wavenumbers equal to 861
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.487106232435e-03       4.349154754523e-01      -1.611594412516e+02      -1.611985725795e+02      -7.482029123363e-02       1.486775248918e+00      -1.611312082409e+02       3.578530914146e-01       3.578533686874e-01 
       3.579007788121e-03       4.704241342257e-01      -1.691059789067e+02      -1.691483790191e+02      -4.956298228237e-02       1.139846608110e+00      -1.690775077520e+02       3.564641699373e-01       3.564644710796e-01 
       3.671262950231e-03       6.880719848191e-01      -1.772402991857e+02      -1.772861747395e+02       6.910964675582e-01       5.776144961990e-01      -1.772115910577e+02       3.550723382302e-01       3.550723372625e-01 
       3.763849775804e-03       6.853688680730e-01      -1.855599116147e+02      -1.856094791277e+02       6.883814721008e-01       4.040997772528e-02      -1.855312055442e+02       3.536779533145e-01       3.536779527144e-01 
       3.856747976971e-03       6.826624056401e-01      -1.940622710946e+02      -1.941157597418e+02       6.856631153045e-01      -2.376354672037e-01      -1.940336696928e+02       3.522816835904e-01       3.522816837794e-01 
       3.949938785993e-03       6.799536850831e-01      -2.027448304695e+02      -2.028024832278e+02       6.829424893207e-01      -1.319350177323e-01      -2.027164388388e+02       3.508840549889e-01       3.508840560281e-01 
       4.043404831068e-03       6.772434999532e-01      -2.116050211813e+02      -2.116670983261e+02       6.802203916551e-01       3.149653324740e-01      -2.115769633797e+02       3.494855575090e-01       3.494855590840e-01 
       4.137130022261e-03       6.745326878591e-01      -2.206402932754e+02      -2.207070703472e+02       6.774976640155e-01       9.086111434720e-01      -2.206127228850e+02       3.480866969698e-01       3.480866985390e-01 
       4.231099446911e-03       6.718219500242e-01      -2.298481003252e+02      -2.299198683634e+02       6.747750113615e-01       1.386426446482e+00      -2.298212061567e+02       3.466879520754e-01       3.466879531110e-01 
       4.325299273839e-03       6.691120159229e-01      -2.392258988046e+02      -2.393029628670e+02       6.720531666666e-01       1.533992150353e+00      -2.391998997567e+02       3.452897539049e-01       3.452897541231e-01 
       4.419716665697e-03       6.664036157659e-01      -2.487711562011e+02      -2.488538336893e+02       6.693328633755e-01       1.282278766701e+00      -2.487462880906e+02       3.438924863965e-01       3.438924858734e-01 
       4.514339698823e-03       6.636975377826e-01      -2.584813479974e+02      -2.585699667490e+02       6.666148927380e-01       7.409819942015e-01      -2.584578474983e+02       3.424964793720e-01       3.424964784995e-01 
       4.609157289984e-03       6.609945088267e-01      -2.683539580589e+02      -2.684488544771e+02       6.638999842983e-01       1.515064292546e-01      -2.683320504749e+02       3.411020174000e-01       3.411020167035e-01 
       4.704159129438e-03       6.582952004833e-01      -2.783864914662e+02      -2.784880107916e+02       6.611888121881e-01      -2.207995745544e-01      -2.783663890150e+02       3.397093717099e-01       3.397093716128e-01 
       4.799335619774e-03       6.556002122891e-01      -2.885764860747e+02      -2.886849792230e+02       6.584819784359e-01      -2.070147301603e-01      -2.885583930151e+02       3.383188206014e-01       3.383188212411e-01 
       4.894677820024e-03       6.529099265850e-01      -2.989214449531e+02      -2.990372765619e+02       6.557798672372e-01       1.873573632653e-01      -2.989055784698e+02       3.369305870800e-01       3.369305882566e-01 
       4.990177394600e-03       6.502247668953e-01      -3.094189507319e+02      -3.095424914017e+02       6.530829043768e-01       7.831655469025e-01      -3.094055484252e+02       3.355449565774e-01       3.355449578540e-01 
       5.085826566600e-03       6.475449984342e-01      -3.200665404736e+02      -3.201981761078e+02       6.503913566605e-01       1.308166238594e+00      -3.200558757581e+02       3.341621409255e-01       3.341621418316e-01 
       5.181618075130e-03       6.448709836133e-01      -3.308618125913e+02      -3.310019441624e+02       6.477055883665e-01       1.521297076617e+00      -3.308541919542e+02       3.327823781023e-01       3.327823783458e-01 
       5.277545136245e-03       6.422030737347e-01      -3.418023642316e+02      -3.419514081122e+02       6.450259523522e-01       1.323700061746e+00      -3.417981160111e+02       3.314058555559e-01       3.314058551488e-01 
       5.373601407215e-03       6.395415908254e-01      -3.528857770245e+02      -3.530441682026e+02       6.423527718163e-01       8.051695428121e-01      -3.528852388621e+02       3.300327011830e-01       3.300327004258e-01 
       5.469780953795e-03       6.368870029883e-01      -3.641097290873e+02      -3.642779204135e+02       6.396865165351e-01       2.035237884409e-01      -3.641132352874e+02       3.286630919337e-01       3.286630912704e-01 
       5.566078220244e-03       6.342396189977e-01      -3.754718545138e+02      -3.756503166480e+02       6.370274963075e-01      -2.047674660595e-01      -3.754797328899e+02       3.272971294296e-01       3.272971292425e-01 
       5.662488001836e-03       6.315997062041e-01      -3.869698192968e+02      -3.871590384155e+02       6.343759795003e-01      -2.323780441622e-01      -3.869823964406e+02       3.259349224095e-01       3.259349228482e-01 
       5.759005419646e-03       6.289674639998e-01      -3.986013151807e+02      -3.988017927469e+02       6.317321664749e-01       1.316435962651e-01      -3.986189305234e+02       3.245765874187e-01       3.245765883401e-01 
       5.855625897403e-03       6.263430608146e-01      -4.103640730050e+02      -4.105763248368e+02       6.290962266805e-01       7.166781585696e-01      -4.103870927031e+02       3.232222577700e-01       3.232222588137e-01 
       5.952345140231e-03       6.237265819429e-01      -4.222558114023e+02      -4.224803629064e+02       6.264682461215e-01       1.249700612481e+00      -4.222846326168e+02       3.218720340331e-01       3.218720347933e-01 
       6.049159115110e-03       6.211182051365e-01      -4.342743261412e+02      -4.345117121718e+02       6.238484035725e-01       1.482466676735e+00      -4.343093748855e+02       3.205260495080e-01       3.205260497202e-01 
       6.146064032898e-03       6.185180038034e-01      -4.464173393184e+02      -4.466681071049e+02       6.212367728172e-01       1.307246133015e+00      -4.464590615844e+02       3.191843513055e-01       3.191843509627e-01 
       6.243056331793e-03       6.159262433492e-01      -4.586827079292e+02      -4.589474154349e+02       6.186336202813e-01       8.067995244419e-01      -4.587315528504e+02       3.178470510715e-01       3.178470504183e-01 
       6.340132662092e-03       6.133430301249e-01      -4.710681854506e+02      -4.713474042956e+02       6.160390525257e-01       2.152891103119e-01      -4.711245955546e+02       3.165141587446e-01       3.165141581568e-01 
       6.437289872143e-03       6.107686049789e-01      -4.835716582099e+02      -4.838659708875e+02       6.134533112007e-01      -1.917126383396e-01      -4.836360636791e+02       3.151857534705e-01       3.151857532776e-01 
       6.534524995394e-03       6.082030887891e-01      -4.961909706528e+02      -4.965009785142e+02       6.108765175905e-01      -2.265149472457e-01      -4.962638031602e+02       3.138618752154e-01       3.138618755513e-01 
       6.631835238435e-03       6.056465534156e-01      -5.089239923591e+02      -5.092503092371e+02       6.083087439160e-01       1.232852533799e-01      -5.090056938742e+02       3.125425685234e-01       3.125425692718e-01 
       6.729217969946e-03       6.030990140484e-01      -5.217685887903e+02      -5.221118526194e+02       6.057500056203e-01       6.897862729857e-01      -5.218596359316e+02       3.112278739555e-01       3.112278748125e-01 
       6.826670710493e-03       6.005605028750e-01      -5.347226829347e+02      -5.350835467388e+02       6.032003352704e-01       1.204774244406e+00      -5.348235874839e+02       3.099178506545e-01       3.099178512755e-01 
       6.924191123085e-03       5.980310083125e-01      -5.477841646251e+02      -5.481633002495e+02       6.006597213978e-01       1.426342087169e+00      -5.478954745494e+02       3.086125227465e-01       3.086125229072e-01 
       7.021777004428e-03       5.955106475575e-01      -5.609510373047e+02      -5.613491396189e+02       5.981282817534e-01       1.252505382253e+00      -5.610733289314e+02       3.073119591214e-01       3.073119588168e-01 
       7.119426276831e-03       5.929994301901e-01      -5.742212126350e+02      -5.746389827214e+02       5.956060258476e-01       7.680707031417e-01      -5.743550614461e+02       3.060161458946e-01       3.060161453336e-01 
       7.217136980705e-03       5.904974467824e-01      -5.875926701755e+02      -5.880308321764e+02       5.930930444555e-01       2.030313145911e-01      -5.877386532045e+02       3.047250959811e-01       3.047250954817e-01 
       7.314907267602e-03       5.880047964754e-01      -6.010634378088e+02      -6.015227272317e+02       5.905894369716e-01      -1.770397390347e-01      -6.012221209126e+02       3.034388278385e-01       3.034388276764e-01 
