# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       7.565213307992e+13       1.239086106431e-25       5.748006515205e-09       1.316116675819e+22       1.372220133697e+04       1.813855178739e-10       1.038113801694e+18       3.318685964633e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       2.073914223085e+43       6.913047410283e+42       5.700558260441e-08       6.234832782562e+43       1.732163104369e+44       3.856004396733e-06       3.583914038908e+00 
       7.512624933457e+13       1.256494027140e-25       5.788024282083e-09       1.297882721466e+22       1.372220133697e+04       1.826552164990e-10       1.030897519060e+18       3.341916766385e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       2.016846788106e+43       6.722822627020e+42       5.700558260441e-08       6.063270279898e+43       1.684499558679e+44       3.952404506651e-06       3.496501501374e+00 
       7.460402118627e+13       1.274146511727e-25       5.828042048961e-09       1.279901386881e+22       1.372220133697e+04       1.839338030145e-10       1.023731399265e+18       3.365310183749e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       1.961349665003e+43       6.537832216678e+42       5.700558260441e-08       5.896428624344e+43       1.638147560141e+44       4.048804616570e-06       3.413251465627e+00 
       7.408542322370e+13       1.292046996070e-25       5.869878805242e-09       1.262169172182e+22       1.372220133697e+04       1.852213396356e-10       1.016615093610e+18       3.388867355035e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       1.907379643856e+43       6.357932146185e+42       5.700558260441e-08       5.734177913402e+43       1.593071019206e+44       4.145204726488e-06       3.333873524565e+00 
       7.357043021222e+13       1.310198964318e-25       5.909896572120e-09       1.244682625970e+22       1.372220133697e+04       1.865178890131e-10       1.009548255819e+18       3.412589426520e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       1.854894703739e+43       6.182982345796e+42       5.700558260441e-08       5.576391819075e+43       1.549234839390e+44       4.241604836406e-06       3.258103671734e+00 
       7.305901709257e+13       1.328605949567e-25       5.951733328402e-09       1.227438344666e+22       1.372220133697e+04       1.878235142362e-10       1.002530542025e+18       3.436477552506e-09       7.839247429430e+43       9.701035002625e+32       5.133591955499e+33       1.803853980010e+43       6.012846600032e+42       5.700558260441e-08       5.422947489502e+43       1.506604889955e+44       4.338004946324e-06       3.185701367918e+00 
       7.255115897971e+13       1.347271534553e-25       5.993570084684e-09       1.210432971844e+22       1.372220133697e+04       1.891382788358e-10       9.955616107499e+17       3.460532895373e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       1.754217732488e+43       5.847392441627e+42       5.700558260441e-08       5.273725453313e+43       1.465147979328e+44       4.434405056243e-06       3.116446990355e+00 
       7.204683116158e+13       1.366199352342e-25       6.035406840965e-09       1.193663197582e+22       1.372220133697e+04       1.904622467877e-10       9.886411228896e+17       3.484756625641e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       1.705947314516e+43       5.686491048385e+42       5.700558260441e-08       5.128609526601e+43       1.424831829261e+44       4.530805166161e-06       3.050139607581e+00 
       7.154600909790e+13       1.385393087043e-25       6.077243597247e-09       1.177125757810e+22       1.372220133697e+04       1.917954825152e-10       9.817687416977e+17       3.509149922020e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       1.659005142865e+43       5.530017142883e+42       5.700558260441e-08       4.987486722469e+43       1.385625049700e+44       4.627205276079e-06       2.986595032423e+00 
       7.104866841896e+13       1.404856474522e-25       6.120899342932e-09       1.160817433685e+22       1.372220133697e+04       1.931380508928e-10       9.749441327684e+17       3.533713971474e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       1.613354668479e+43       5.377848894929e+42       5.700558260441e-08       4.850247163053e+43       1.347497114346e+44       4.723605385997e-06       2.925644113395e+00 
       7.055478492449e+13       1.424593303133e-25       6.162736099213e-09       1.144735050954e+22       1.372220133697e+04       1.944900172490e-10       9.681669640202e+17       3.558449969274e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       1.568960348011e+43       5.229867826705e+42       5.700558260441e-08       4.716783993974e+43       1.310418336883e+44       4.820005495915e-06       2.867131231127e+00 
       7.006433458242e+13       1.444607414449e-25       6.206391844898e-09       1.128875479345e+22       1.372220133697e+04       1.958514473698e-10       9.614369056804e+17       3.583359119059e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       1.525787616156e+43       5.085958720520e+42       5.700558260441e-08       4.586993301144e+43       1.274359847866e+44       4.916405605834e-06       2.810912971693e+00 
       6.957729352772e+13       1.464902704014e-25       6.250047590584e-09       1.113235631952e+22       1.372220133697e+04       1.972224075014e-10       9.547536302686e+17       3.608442632892e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       1.483802858731e+43       4.946009529103e+42       5.700558260441e-08       4.460774029851e+43       1.239293572247e+44       5.012805715752e-06       2.756856953007e+00 
       6.909363806129e+13       1.485483122103e-25       6.293703336269e-09       1.097812464636e+22       1.372220133697e+04       1.986029643539e-10       9.481168125805e+17       3.633701731322e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       1.442973386509e+43       4.809911288363e+42       5.700558260441e-08       4.338027906086e+43       1.205192207511e+44       5.109205825670e-06       2.704840784082e+00 
       6.861334464875e+13       1.506352674485e-25       6.337359081954e-09       1.082602975434e+22       1.372220133697e+04       1.999931851043e-10       9.415261296728e+17       3.659137643441e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       1.403267409765e+43       4.677558032550e+42       5.700558260441e-08       4.218659360024e+43       1.172029202419e+44       5.205605935588e-06       2.654751139932e+00 
       6.813638991932e+13       1.527515423209e-25       6.382833817042e-09       1.067604203973e+22       1.372220133697e+04       2.013931374001e-10       9.349812608469e+17       3.684751606945e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       1.364654013524e+43       4.548846711748e+42       5.700558260441e-08       4.102575451612e+43       1.139778736341e+44       5.302006045507e-06       2.606482937388e+00 
       6.766275066466e+13       1.548975487389e-25       6.426489562728e-09       1.052813230892e+22       1.372220133697e+04       2.028028893619e-10       9.284818876334e+17       3.710544868193e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       1.327103133493e+43       4.423677111645e+42       5.700558260441e-08       3.989685798209e+43       1.108415699142e+44       5.398406155425e-06       2.559938599221e+00 
       6.719240383780e+13       1.570737044011e-25       6.471964297816e-09       1.038227177279e+22       1.372220133697e+04       2.042225095874e-10       9.220276937770e+17       3.736518682270e-09       5.608668679067e+43       7.546700792321e+32       3.993561766094e+33       1.290585532651e+43       4.301951775502e+42       5.700558260441e-08       3.879902504213e+43       1.077915671641e+44       5.494806265343e-06       2.515027395726e+00 
       6.672532655193e+13       1.592804328743e-25       6.517439032905e-09       1.023843204105e+22       1.372220133697e+04       2.056520671545e-10       9.156183652204e+17       3.762674313046e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       1.255072778483e+43       4.183575928276e+42       5.700558260441e-08       3.773140092625e+43       1.048254906591e+44       5.591206375261e-06       2.471664854420e+00 
       6.626149607938e+13       1.615181636757e-25       6.562913767993e-09       1.009658511674e+22       1.372220133697e+04       2.070916316246e-10       9.092535900898e+17       3.789013033237e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       1.220537220849e+43       4.068457402829e+42       5.700558260441e-08       3.669315438497e+43       1.019410310196e+44       5.687606485180e-06       2.429772229769e+00 
       6.580088985043e+13       1.637873323572e-25       6.608388503082e-09       9.956703390807e+21       1.372220133697e+04       2.085412730460e-10       9.029330586790e+17       3.815536124469e-09       5.158294566142e+43       7.087480820724e+32       3.750551824231e+33       1.186951970449e+43       3.956506568163e+42       5.700558260441e-08       3.568347704214e+43       9.913594241250e+43       5.784006595098e-06       2.389276025940e+00 
       6.534348545226e+13       1.660883805894e-25       6.655682227574e-09       9.818759636673e+21       1.372220133697e+04       2.100010619573e-10       8.966564634350e+17       3.842244877340e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       1.154290877891e+43       3.847636259637e+42       5.700558260441e-08       3.470158276548e+43       9.640804080275e+43       5.880406705016e-06       2.350107566498e+00 
       6.488926062787e+13       1.684217562483e-25       6.701156962663e-09       9.682727004981e+21       1.372220133697e+04       2.114710693910e-10       8.904234989424e+17       3.869140591481e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       1.122528513331e+43       3.741761711102e+42       5.700558260441e-08       3.374670705457e+43       9.375520225299e+43       5.976806814934e-06       2.312202605748e+00 
       6.443819327494e+13       1.707879135019e-25       6.748450687155e-09       9.548579018354e+21       1.372220133697e+04       2.129513668767e-10       8.842338619090e+17       3.896224575621e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       1.091640146669e+43       3.638800488898e+42       5.700558260441e-08       3.281810644556e+43       9.117536126975e+43       6.073206924853e-06       2.275500977086e+00 
       6.399026144483e+13       1.731873128986e-25       6.795744411647e-09       9.416289566239e+21       1.372220133697e+04       2.144420264449e-10       8.780872511510e+17       3.923498147650e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       1.061601728302e+43       3.538672427675e+42       5.700558260441e-08       3.191505793234e+43       8.866650919527e+43       6.169607034771e-06       2.239946274319e+00 
       6.354544334144e+13       1.756204214575e-25       6.843038136140e-09       9.285832899831e+21       1.372220133697e+04       2.159431206300e-10       8.719833675779e+17       3.950962634684e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       1.032389870392e+43       3.441299567973e+42       5.700558260441e-08       3.103685840358e+43       8.622669264358e+43       6.266007144689e-06       2.205485562407e+00 
       6.310371732020e+13       1.780877127586e-25       6.890331860632e-09       9.157183627056e+21       1.372220133697e+04       2.174547224744e-10       8.659219141787e+17       3.978619373126e-09       4.363136959379e+43       6.251171684661e+32       3.307993906231e+33       1.003981828658e+43       3.346606095527e+42       5.700558260441e-08       3.018282409532e+43       8.385401197962e+43       6.362407254607e-06       2.172069114491e+00 
       6.266506188699e+13       1.805896670351e-25       6.939444574527e-09       9.030316707632e+21       1.372220133696e+04       2.189769055317e-10       8.599025960066e+17       4.006469708738e-09       4.243077493099e+43       6.121713705189e+32       3.239487355970e+33       9.763554846710e+42       3.254518282237e+42       5.700558260441e-08       2.935229005859e+43       8.154661984014e+43       6.458807364526e-06       2.139650172484e+00 
       6.222945569711e+13       1.831267712673e-25       6.988557288423e-09       8.905207448194e+21       1.372220133696e+04       2.205097438704e-10       8.539251201654e+17       4.034514996699e-09       4.126321676367e+43       5.994936722065e+32       3.172399534873e+33       9.494893286277e+42       3.164964428759e+42       5.700558260441e-08       2.854460964164e+43       7.930271969537e+43       6.555207474444e-06       2.108184728771e+00 
       6.179687755423e+13       1.856995192768e-25       7.037670002319e-09       8.781831497487e+21       1.372220133696e+04       2.220533120775e-10       8.479891957949e+17       4.062756601675e-09       4.012778603396e+43       5.870785213476e+32       3.106701061918e+33       9.233624426063e+42       3.077874808688e+42       5.700558260441e-08       2.775915398654e+43       7.712056445026e+43       6.651607584362e-06       2.077631326905e+00 
