# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ddec[0]        13:(.)p_ddec[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       7.408542322370e+13       1.221016986677e-25       5.546098691411e-09       1.335593120524e+22       1.330060624629e+04       1.795306777979e-10       9.853810428886e+17       3.202565091424e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       3.814759287711e+43       1.271586429237e+43       8.111013765352e-08       5.734177913402e+43       1.783808983591e+44       4.959799755195e-06       3.333873524566e+00 
       7.357043021222e+13       1.238171054323e-25       5.586116458289e-09       1.317089332492e+22       1.330060624629e+04       1.807873925425e-10       9.785313236232e+17       3.224983047064e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       3.709789407478e+43       1.236596469159e+43       8.111013765352e-08       5.576391819075e+43       1.734724309764e+44       5.075143935548e-06       3.258103671735e+00 
       7.305901709257e+13       1.255566119465e-25       5.624315235764e-09       1.298841902603e+22       1.330060624629e+04       1.820529042903e-10       9.717292190896e+17       3.247557928393e-09       7.839247429430e+43       9.701035002625e+32       5.133591955499e+33       3.607707960020e+43       1.202569320007e+43       8.111013765352e-08       5.422947489502e+43       1.686990287956e+44       5.190488115901e-06       3.185701367919e+00 
       7.255115897971e+13       1.273205567877e-25       5.664333002642e-09       1.280847279178e+22       1.330060624629e+04       1.833272746203e-10       9.649743983014e+17       3.270290833891e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       3.508435464976e+43       1.169478488325e+43       8.111013765352e-08       5.273725453313e+43       1.640569752577e+44       5.305832296254e-06       3.116446990355e+00 
       7.204683116158e+13       1.291092832900e-25       5.704350769520e-09       1.263101959745e+22       1.330060624629e+04       1.846105655426e-10       9.582665325734e+17       3.293182869729e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       3.411894629031e+43       1.137298209677e+43       8.111013765352e-08       5.128609526601e+43       1.595426560712e+44       5.421176476608e-06       3.050139607582e+00 
       7.154600909790e+13       1.309231396110e-25       5.744368536398e-09       1.245602490358e+22       1.330060624629e+04       1.859028395014e-10       9.516052955049e+17       3.316235149816e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       3.318010285730e+43       1.106003428577e+43       8.111013765352e-08       4.987486722469e+43       1.551525563987e+44       5.536520656961e-06       2.986595032424e+00 
       7.104866841896e+13       1.327624787993e-25       5.784386303276e-09       1.228345464922e+22       1.330060624629e+04       1.872041593779e-10       9.449903629641e+17       3.339448795865e-09       7.011369311369e+43       8.922045320088e+32       4.721366335593e+33       3.226709336958e+43       1.075569778986e+43       8.111013765352e-08       4.850247163053e+43       1.508832581194e+44       5.651864837314e-06       2.925644113395e+00 
       7.055478492449e+13       1.346276588640e-25       5.824404070154e-09       1.211327524530e+22       1.330060624629e+04       1.885145884936e-10       9.384214130726e+17       3.362824937436e-09       6.818439026290e+43       8.737275165282e+32       4.623589698350e+33       3.137920696023e+43       1.045973565341e+43       8.111013765352e-08       4.716783993974e+43       1.467314371684e+44       5.767209017667e-06       2.867131231127e+00 
       7.006433458242e+13       1.365190428434e-25       5.866240826435e-09       1.194545356812e+22       1.330060624629e+04       1.898341906130e-10       9.318981261893e+17       3.386364711998e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       3.051575232312e+43       1.017191744104e+43       8.111013765352e-08       4.586993301144e+43       1.426938609482e+44       5.882553198021e-06       2.810912971693e+00 
       6.957729352772e+13       1.384369988763e-25       5.906258593313e-09       1.177995695289e+22       1.330060624629e+04       1.911630299473e-10       9.254201848950e+17       3.410069264981e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       2.967605717462e+43       9.892019058206e+42       8.111013765352e-08       4.460774029851e+43       1.387673858120e+44       5.997897378374e-06       2.756856953007e+00 
       6.909363806129e+13       1.403819002735e-25       5.948095349595e-09       1.161675318736e+22       1.330060624629e+04       1.925011711570e-10       9.189872739772e+17       3.433939749836e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       2.885946773018e+43       9.619822576726e+42       8.111013765352e-08       4.338027906086e+43       1.349489546161e+44       6.113241558727e-06       2.704840784082e+00 
       6.861334464875e+13       1.423541255904e-25       5.989932105877e-09       1.145581050557e+22       1.330060624629e+04       1.938486793551e-10       9.125990804143e+17       3.457977328085e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       2.806534819530e+43       9.355116065099e+42       8.111013765352e-08       4.218659360024e+43       1.312355943396e+44       6.228585739081e-06       2.654751139933e+00 
       6.813638991932e+13       1.443540587008e-25       6.031768862158e-09       1.129709758165e+22       1.330060624629e+04       1.952056201105e-10       9.062552933608e+17       3.482183169381e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       2.729308027049e+43       9.097693423496e+42       8.111013765352e-08       4.102575451612e+43       1.276244137693e+44       6.343929919434e-06       2.606482937389e+00 
       6.766275066466e+13       1.463820888715e-25       6.073605618440e-09       1.114058352373e+22       1.330060624629e+04       1.965720594513e-10       8.999556041318e+17       3.506558451567e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       2.654206266987e+43       8.847354223290e+42       8.111013765352e-08       3.989685798210e+43       1.241126012491e+44       6.459274099787e-06       2.559938599221e+00 
