# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       1.562299291522e-03      -8.906588616403e-02      -2.844872655389e+01      -2.845212616308e+01      -7.147886632670e-02      -3.429108420327e-01      -2.844201473164e+01       4.190826142938e-01       4.190835613372e-01 
       1.642090484503e-03      -3.484716848720e-02      -3.135728245320e+01      -3.136106303647e+01      -1.936950038755e-02       4.747939568826e-02      -3.134987695274e+01       4.181270636565e-01       4.181281963756e-01 
       1.723984961446e-03       3.436202969266e-02      -3.448092592570e+01      -3.448513587768e+01       4.469698228357e-02       5.015841048743e-01      -3.447278812750e+01       4.171333613933e-01       4.171346968738e-01 
       1.807852375162e-03       8.370133887558e-02      -3.782378875424e+01      -3.782848452563e+01       8.740547176560e-02       8.990481677287e-01      -3.781490045988e+01       4.161035229270e-01       4.161048561723e-01 
       1.893563298875e-03       9.233736430861e-02      -4.138919639745e+01      -4.139444208167e+01       9.085762584441e-02       1.121713487270e+00      -4.137955532628e+01       4.150396043135e-01       4.150406944824e-01 
       1.980991187410e-03       7.111413820166e-02      -4.517972570136e+01      -4.518559176162e+01       6.861427906428e-02       1.094220823449e+00      -4.516933355113e+01       4.139435836188e-01       4.139443429423e-01 
       2.070013894393e-03       5.433813248936e-02      -4.919726723511e+01      -4.920382923511e+01       5.555673022534e-02       8.166368157388e-01      -4.918611908137e+01       4.128173455603e-01       4.128178878064e-01 
       2.160514777863e-03       6.994739448295e-02      -5.344309258964e+01      -5.345042946569e+01       7.756502440507e-02       3.745512905628e-01      -5.343117439708e+01       4.116627659635e-01       4.116632895512e-01 
       2.252383443363e-03       1.137577488622e-01      -5.791792010130e+01      -5.792611260602e+01       1.274427966698e-01      -8.164549433035e-02      -5.790521464783e+01       4.104817740838e-01       4.104823918200e-01 
       2.345516181282e-03       1.529867812236e-01      -6.262197897722e+01      -6.263110861849e+01       1.709401069597e-01      -3.854323670504e-01      -6.260847278937e+01       4.092763408095e-01       4.092770051779e-01 
       2.439816156371e-03       1.580994430123e-01      -6.755506829679e+01      -6.756521689303e+01       1.794138042573e-01      -4.155122802703e-01      -6.754075199753e+01       4.080483899052e-01       4.080489679579e-01 
       2.535193403933e-03       1.331203785543e-01      -7.271661162900e+01      -7.272786185676e+01       1.582281599538e-01      -1.466068506243e-01      -7.270147437587e+01       4.067997239944e-01       4.068001379532e-01 
       2.631564681181e-03       1.132221960514e-01      -7.810570790476e+01      -7.811814453804e+01       1.416770468385e-01       3.326573523660e-01      -7.808973415683e+01       4.055320260334e-01       4.055323233747e-01 
       2.728853215055e-03       1.299188519951e-01      -8.372117526152e+01      -8.373488725262e+01       1.577512818633e-01       8.462259267856e-01      -8.370435156838e+01       4.042469055554e-01       4.042472451674e-01 
       2.826988380429e-03       1.784937223288e-01      -8.956158982245e+01      -8.957667283076e+01       1.698820175307e-01       1.195329826353e+00      -8.954392216606e+01       4.029459399726e-01       4.029464509378e-01 
       2.925905335651e-03       2.223060829110e-01      -9.562532582576e+01      -9.564188443662e+01       1.082994322500e-01       1.237984738162e+00      -9.560684890439e+01       4.016306873176e-01       4.016312212964e-01 
       3.025544636276e-03       2.307463558888e-01      -1.019105774193e+02      -1.019287276672e+02      -7.077395631624e-03       9.508498049426e-01      -1.018913400689e+02       4.003025146588e-01       4.003029481502e-01 
       3.125851842553e-03       2.109328732030e-01      -1.084154001173e+02      -1.084352705911e+02      -1.039153928643e-01       4.454007333005e-01      -1.083954478337e+02       3.989626462980e-01       3.989629666332e-01 
       3.226777131995e-03       1.985839577288e-01      -1.151377227695e+02      -1.151594553276e+02      -1.340760385956e-01      -7.213176921685e-02      -1.151170924361e+02       3.976121788898e-01       3.976124633287e-01 
       3.328274924875e-03       2.178050689694e-01      -1.220753744637e+02      -1.220991238192e+02      -1.114591573586e-01      -3.838236853916e-01      -1.220541031465e+02       3.962521737208e-01       3.962524994549e-01 
       3.430303527867e-03       2.546099413262e-01      -1.292261076971e+02      -1.292520396856e+02      -8.913765566393e-02      -3.526746935857e-01      -1.292042459423e+02       3.948836938029e-01       3.948840671160e-01 
       3.532824798954e-03       2.741827290816e-01      -1.365875998772e+02      -1.366158904884e+02      -1.060091451456e-01       1.521973237472e-02      -1.365652186468e+02       3.935077367200e-01       3.935081009445e-01 
       3.635803835260e-03       2.621272262356e-01      -1.441574860564e+02      -1.441883179943e+02      -1.536615258801e-01       5.681496817151e-01      -1.441346703982e+02       3.921252512492e-01       3.921255540261e-01 
