#scalar perturbations for mode k = 1.000000000000e-03 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       4.249316337348e+00       1.041082667371e-05      -1.181699975683e+00       1.246883438514e-06       1.077926900791e-10       2.694817251977e-10       1.310849664455e-17       5.389634503953e-11      -8.862749817619e-01       1.246883438517e-06       5.903413678439e-01       7.045758873476e-01      -1.181699975681e+00       1.246882426299e-06       7.050140573243e-07      -8.862749817641e-01       1.246885546417e-06      -1.181699975681e+00       1.246882573058e-06       5.696176120281e-07       3.333333333333e-01 
       4.534263484867e+00       1.111400300910e-05      -1.182626118290e+00       1.330940165651e-06       1.311242930032e-10       3.278107325081e-10       1.817261075164e-17       6.556214650162e-11      -8.869695887177e-01       1.330940165655e-06       5.907204289060e-01       7.043444741193e-01      -1.182626118288e+00       1.330938934370e-06       8.029527778736e-07      -8.869695887206e-01       1.330942724776e-06      -1.182626118289e+00       1.330939123561e-06       6.399944087843e-07       3.333333333333e-01 
       4.819210632386e+00       1.181781477786e-05      -1.183539997935e+00       1.415038136904e-06       1.576219419173e-10       3.940548547932e-10       2.469927333621e-17       7.881097095865e-11      -8.876549984510e-01       1.415038136910e-06       5.910907036546e-01       7.041161346177e-01      -1.183539997932e+00       1.415036656836e-06       9.072801705812e-07      -8.876549984547e-01       1.415041207175e-06      -1.183539997933e+00       1.415036896776e-06       7.134799132064e-07       3.333333333333e-01 
       5.104157779905e+00       1.252226197999e-05      -1.184442332525e+00       1.499175690609e-06       1.874920309973e-10       4.687300774934e-10       3.298690192148e-17       9.374601549867e-11      -8.883317493938e-01       1.499175690618e-06       5.914524242880e-01       7.038906893693e-01      -1.184442332522e+00       1.499173930094e-06       1.017999292704e-06      -8.883317493985e-01       1.499179335622e-06      -1.184442332523e+00       1.499174230055e-06       7.899385585887e-07       3.333333333333e-01 
       5.389104927424e+00       1.322734461547e-05      -1.185333740678e+00       1.583351242315e-06       2.209417717426e-10       5.523544293565e-10       4.337268558176e-17       1.104708858713e-10      -8.890003055088e-01       1.583351242326e-06       5.918058025086e-01       7.036679837236e-01      -1.185333740675e+00       1.583349167748e-06       1.135113088229e-06      -8.890003055146e-01       1.583355529324e-06      -1.185333740676e+00       1.583349537995e-06       8.692407242515e-07       3.333333333333e-01 
       5.674052074943e+00       1.393306268432e-05      -1.186214717362e+00       1.667563209616e-06       2.581791753265e-10       6.454479383162e-10       5.623510830464e-17       1.290895876632e-10      -8.896610380218e-01       1.667563209631e-06       5.921510473686e-01       7.034478939421e-01      -1.186214717358e+00       1.667560785439e-06       1.258624384075e-06      -8.896610380289e-01       1.667568209526e-06      -1.186214717359e+00       1.667561237268e-06       9.512624467424e-07       3.333333333333e-01 
       6.155463444227e+00       1.512680007276e-05      -1.187680506407e+00       1.809915649469e-06       3.302798505546e-10       8.256996263864e-10       8.479482691468e-17       1.651399252773e-10      -8.907603798052e-01       1.809915649491e-06       5.927164305851e-01       7.030817256960e-01      -1.187680506401e+00       1.809912548365e-06       1.481835738027e-06      -8.907603798150e-01       1.809922025054e-06      -1.187680506402e+00       1.809913166680e-06       1.095685968578e-06       3.333333333333e-01 
       6.636874813510e+00       1.632235119719e-05      -1.189119334049e+00       1.952360272392e-06       4.148000797622e-10       1.037000199406e-09       1.239930697039e-16       2.074000398811e-10      -8.918395005367e-01       1.952360272424e-06       5.932601339000e-01       7.027223206516e-01      -1.189119334040e+00       1.952356377758e-06       1.723327733423e-06      -8.918395005500e-01       1.952368253885e-06      -1.189119334042e+00       1.952357203209e-06       1.246997282186e-06       3.333333333333e-01 
       7.118286182794e+00       1.751971605761e-05      -1.190532545118e+00       2.094890026921e-06       5.127581209778e-10       1.281895302445e-09       1.765874432441e-16       2.563790604889e-10      -8.928994088388e-01       2.094890026966e-06       5.937830830258e-01       7.023693426157e-01      -1.190532545107e+00       2.094885212584e-06       1.983111820570e-06      -8.928994088564e-01       2.094899861936e-06      -1.190532545110e+00       2.094886291432e-06       1.404696788224e-06       3.333333333333e-01 
       7.599697552077e+00       1.871889465401e-05      -1.191921268065e+00       2.237498114505e-06       6.251783987585e-10       1.562945996896e-09       2.457862077291e-16       3.125891993793e-10      -8.939409510489e-01       2.237498114570e-06       5.942861823736e-01       7.020225094889e-01      -1.191921268050e+00       2.237492244662e-06       2.261198385815e-06      -8.939409510717e-01       2.237510067948e-06      -1.191921268054e+00       2.237493629011e-06       1.568320895094e-06       3.333333333333e-01 
       8.081108921361e+00       1.991988698641e-05      -1.193286502291e+00       2.380178035322e-06       7.530914178542e-10       1.882728544635e-09       3.352853544260e-16       3.765457089271e-10      -8.949648767182e-01       2.380178035395e-06       5.947702987702e-01       7.016815714325e-01      -1.193286502272e+00       2.380170964477e-06       2.557596856541e-06      -8.949648767473e-01       2.380192389303e-06      -1.193286502277e+00       2.380172712499e-06       1.737439467987e-06       3.333333333333e-01 
       8.562520290644e+00       2.112269305480e-05      -1.194629201582e+00       2.522923685230e-06       8.975337134221e-10       2.243834283555e-09       4.493062828362e-16       4.487668567110e-10      -8.959719011867e-01       2.522923685418e-06       5.952362411906e-01       7.013462900109e-01      -1.194629201558e+00       2.522915258134e-06       2.872315916222e-06      -8.959719012234e-01       2.522940738972e-06      -1.194629201564e+00       2.522917434271e-06       1.911653547967e-06       3.333333333333e-01 
       9.043931659928e+00       2.232731285917e-05      -1.195950220516e+00       2.665729214113e-06       1.059547739859e-09       2.648869349647e-09       5.926340357241e-16       5.297738699293e-10      -8.969626653869e-01       2.665729214464e-06       5.956847897028e-01       7.010164515898e-01      -1.195950220486e+00       2.665719265704e-06       3.205363435613e-06      -8.969626654325e-01       2.665749283865e-06      -1.195950220494e+00       2.665721940855e-06       2.090592999852e-06       3.333333333333e-01 
