# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       3.843010078631e-03       2.456660648603e-01      -1.599127596005e+02      -1.599492452556e+02      -1.900687289348e-01       2.510559164418e-01      -1.598893963808e+02       3.893441160807e-01       3.893443702220e-01 
       3.947181192420e-03       2.766806796881e-01      -1.680932331266e+02      -1.681328388658e+02      -1.626920052713e-01       2.461482744046e-01      -1.680697217323e+02       3.879468723121e-01       3.879471524800e-01 
       4.051697420008e-03       3.015199770020e-01      -1.764722695100e+02      -1.765151975450e+02      -1.468737847971e-01       2.587030890197e-01      -1.764487146774e+02       3.865460946034e-01       3.865463897821e-01 
       4.156536173955e-03       4.821919915409e-01      -1.850473602964e+02      -1.850938188527e+02       4.855628481707e-01       2.804606861753e-01      -1.850237681621e+02       3.851424831262e-01       3.851424990635e-01 
       4.261676701857e-03       4.804312361327e-01      -1.938159987504e+02      -1.938662043929e+02       4.837897865307e-01       2.958901026168e-01      -1.937925954443e+02       3.837365047089e-01       3.837365212063e-01 
       4.367099920266e-03       4.786682194277e-01      -2.027756411949e+02      -2.028298223289e+02       4.820144478020e-01       2.956507118552e-01      -2.027525548794e+02       3.823287214935e-01       3.823287361967e-01 
       4.472788264292e-03       4.769035912015e-01      -2.119237685577e+02      -2.119821657687e+02       4.802374862440e-01       2.838033759577e-01      -2.119011383225e+02       3.809196468918e-01       3.809196586439e-01 
       4.578725551528e-03       4.751379041311e-01      -2.212578451302e+02      -2.213207146496e+02       4.784594584001e-01       2.731609157901e-01      -2.212358235578e+02       3.795097262962e-01       3.795097359518e-01 
       4.684896858992e-03       4.733716938020e-01      -2.307753436324e+02      -2.308429575811e+02       4.766809035272e-01       2.736803850585e-01      -2.307540971157e+02       3.780993795176e-01       3.780993889734e-01 
       4.791288411857e-03       4.716054693934e-01      -2.404737506281e+02      -2.405463968077e+02       4.749023343051e-01       2.844035493996e-01      -2.404534596315e+02       3.766890064736e-01       3.766890169737e-01 
       4.897887482858e-03       4.698397059242e-01      -2.503505720829e+02      -2.504285530513e+02       4.731242290999e-01       2.956724718995e-01      -2.503314307103e+02       3.752789915254e-01       3.752790027322e-01 
       5.004682301321e-03       4.680747851051e-01      -2.604032885650e+02      -2.604869214291e+02       4.713469722701e-01       2.989195461935e-01      -2.603855043501e+02       3.738696362921e-01       3.738696467698e-01 
       5.111661970888e-03       4.663111368158e-01      -2.706294388681e+02      -2.707190507368e+02       4.695709966861e-01       2.948319067624e-01      -2.706132285572e+02       3.724612805108e-01       3.724612890256e-01 
       5.218816395059e-03       4.645491039045e-01      -2.810265462887e+02      -2.811224755561e+02       4.677966476132e-01       2.926208811758e-01      -2.810121365806e+02       3.710541988509e-01       3.710542053169e-01 
       5.326136209784e-03       4.627890019037e-01      -2.915921457441e+02      -2.916947397186e+02       4.660242427880e-01       3.013394743301e-01      -2.915797712989e+02       3.696486402961e-01       3.696486456683e-01 
       5.433612722403e-03       4.610311977113e-01      -3.023238438561e+02      -3.024334552817e+02       4.642541517200e-01       3.211673800194e-01      -3.023137447049e+02       3.682449021032e-01       3.682449074853e-01 
       5.541237856288e-03       4.592759457294e-01      -3.132192041100e+02      -3.133361960210e+02       4.624866306291e-01       3.423031174600e-01      -3.132116301550e+02       3.668431913145e-01       3.668431971430e-01 
       5.649004100628e-03       4.575234914145e-01      -3.242758051427e+02      -3.244005489802e+02       4.607219266541e-01       3.522396528520e-01      -3.242710146779e+02       3.654436975763e-01       3.654437035248e-01 
       5.756904464843e-03       4.557740946734e-01      -3.354912718501e+02      -3.356241507199e+02       4.589603015441e-01       3.450957393638e-01      -3.354895340168e+02       3.640466320450e-01       3.640466375742e-01 
       5.864932437163e-03       4.540279946694e-01      -3.468632370525e+02      -3.470046461883e+02       4.572019960840e-01       3.254637458202e-01      -3.468648318027e+02       3.626521786856e-01       3.626521836317e-01 
       5.973081946959e-03       4.522853711948e-01      -3.583893427189e+02      -3.585396918838e+02       4.554471914419e-01       3.044161004477e-01      -3.583945625691e+02       3.612605001108e-01       3.612605047855e-01 
       6.081347330465e-03       4.505463984546e-01      -3.700672095383e+02      -3.702269276201e+02       4.536960628745e-01       2.918223832336e-01      -3.700763634892e+02       3.598717121467e-01       3.598717169450e-01 
       6.189723299550e-03       4.488113140362e-01      -3.818945741374e+02      -3.820641026565e+02       4.519488496618e-01       2.912991970426e-01      -3.819079824289e+02       3.584860107145e-01       3.584860156777e-01 
       6.298204913243e-03       4.470801706227e-01      -3.938690336019e+02      -3.940488389959e+02       4.502056048579e-01       3.006559242300e-01      -3.938870383239e+02       3.571034398501e-01       3.571034446118e-01 
       6.406787551753e-03       4.453531725444e-01      -4.059883492527e+02      -4.061789110860e+02       4.484665342241e-01       3.155369616694e-01      -4.060113044641e+02       3.557241639298e-01       3.557241680663e-01 
       6.515466892733e-03       4.436305136570e-01      -4.182503176414e+02      -4.184521265346e+02       4.467318330171e-01       3.319879425303e-01      -4.182785876010e+02       3.543483448027e-01       3.543483482301e-01 
       6.624238889588e-03       4.419122230976e-01      -4.306525847514e+02      -4.308661535078e+02       4.450015305272e-01       3.461904167920e-01      -4.306865533181e+02       3.529759979032e-01       3.529760009457e-01 
       6.733099751614e-03       4.401984273040e-01      -4.431929360620e+02      -4.434187879557e+02       4.432757541175e-01       3.534787933048e-01      -4.432329968349e+02       3.516072294671e-01       3.516072325547e-01 
       6.842045925821e-03       4.384892368417e-01      -4.558691702686e+02      -4.561078382515e+02       4.415546151633e-01       3.496735518018e-01      -4.559157258961e+02       3.502421319770e-01       3.502421352706e-01 
       6.951074080257e-03       4.367847204030e-01      -4.686790603027e+02      -4.689310902864e+02       4.398381828377e-01       3.348179704544e-01      -4.687325250800e+02       3.488807590392e-01       3.488807623245e-01 
       7.060181088721e-03       4.350850475227e-01      -4.816205235612e+02      -4.818864660111e+02       4.381266278720e-01       3.157650859977e-01      -4.816813160383e+02       3.475232463419e-01       3.475232492682e-01 
       7.169364016712e-03       4.333901839509e-01      -4.946912651141e+02      -4.949716888594e+02       4.364199157550e-01       3.038201153317e-01      -4.947598195989e+02       3.461695624294e-01       3.461695648537e-01 
       7.278620108523e-03       4.317002979159e-01      -5.078892656080e+02      -5.081847432583e+02       4.347182159375e-01       3.076498934265e-01      -5.079660199184e+02       3.448198479239e-01       3.448198500464e-01 
       7.387946775368e-03       4.300153571819e-01      -5.212122699825e+02      -5.215233982634e+02       4.330214959311e-01       3.264345628997e-01      -5.212976830074e+02       3.434740730744e-01       3.434740752561e-01 
       7.497341584446e-03       4.283354892150e-01      -5.346582544181e+02      -5.349856376251e+02       4.313298840973e-01       3.491535229375e-01      -5.347527925402e+02       3.421323405807e-01       3.421323430240e-01 
       7.606802248869e-03       4.266607055666e-01      -5.482250780109e+02      -5.485693353438e+02       4.296433920834e-01       3.615422548020e-01      -5.483292214440e+02       3.407946626303e-01       3.407946652092e-01 
       7.716326618374e-03       4.249911011593e-01      -5.619107251476e+02      -5.622724978682e+02       4.279621154966e-01       3.560458369065e-01      -5.620249736409e+02       3.394611191639e-01       3.394611215421e-01 
       7.825912670749e-03       4.233266419851e-01      -5.757130280589e+02      -5.760929736423e+02       4.262860200582e-01       3.372971561196e-01      -5.758378955383e+02       3.381316789084e-01       3.381316808284e-01 
       7.935558503913e-03       4.216674015882e-01      -5.896299819063e+02      -5.900287776691e+02       4.246151798092e-01       3.188000747418e-01      -5.897659991111e+02       3.368063987478e-01       3.368064002391e-01 
       8.045262328602e-03       4.200134192880e-01      -6.036595705159e+02      -6.040779078728e+02       4.229496343472e-01       3.132398491797e-01      -6.038072802066e+02       3.354853108947e-01       3.354853122375e-01 
       8.155022461594e-03       4.183647065106e-01      -6.177997557725e+02      -6.182383442366e+02       4.212893951798e-01       3.236665312378e-01      -6.179597164915e+02       3.341684248313e-01       3.341684263259e-01 
       8.264837319447e-03       4.167212021376e-01      -6.320484089514e+02      -6.325079791168e+02       4.196344007749e-01       3.419630187991e-01      -6.322211980127e+02       3.328556936128e-01       3.328556953551e-01 
       8.374705412693e-03       4.150830566709e-01      -6.464037520488e+02      -6.468850394143e+02       4.179848027006e-01       3.553165239083e-01      -6.465899520088e+02       3.315472389898e-01       3.315472408269e-01 
       8.484625340461e-03       4.134501731254e-01      -6.608636378172e+02      -6.613673988608e+02       4.163405032971e-01       3.554848888327e-01      -6.610638499298e+02       3.302429836334e-01       3.302429853095e-01 
       8.594595785482e-03       4.118227209808e-01      -6.754263776004e+02      -6.759533660411e+02       4.147016732315e-01       3.440269617596e-01      -6.756412013069e+02       3.289430624882e-01       3.289430638463e-01 
       8.704615509463e-03       4.102005448554e-01      -6.900897587703e+02      -6.906407555424e+02       4.130681560382e-01       3.301820592388e-01      -6.903198167677e+02       3.276473516013e-01       3.276473526821e-01 
       8.814683348788e-03       4.085837346627e-01      -7.048519952312e+02      -7.054277953633e+02       4.114400422621e-01       3.236785185622e-01      -7.050979222766e+02       3.263559229388e-01       3.263559239226e-01 
       8.924798210516e-03       4.069722477648e-01      -7.197110984950e+02      -7.203125091212e+02       4.098172889598e-01       3.280535345481e-01      -7.199735400523e+02       3.250687412168e-01       3.250687422779e-01 
       9.034959068675e-03       4.053661237159e-01      -7.346652420538e+02      -7.352930839445e+02       4.081999359642e-01       3.390301243859e-01      -7.349448558416e+02       3.237858384696e-01       3.237858396615e-01 
       9.145164960802e-03       4.037653129519e-01      -7.497124579596e+02      -7.503675707049e+02       4.065879333747e-01       3.484043179887e-01      -7.500099185162e+02       3.225071769005e-01       3.225071781455e-01 
       9.255414984729e-03       4.021699533507e-01      -7.648511469568e+02      -7.655343799315e+02       4.049814200268e-01       3.500727296119e-01      -7.651671378342e+02       3.212328660050e-01       3.212328671717e-01 
       9.365708295591e-03       4.005798565203e-01      -7.800791020310e+02      -7.807913378844e+02       4.033802062147e-01       3.438705910273e-01      -7.804143355097e+02       3.199627563547e-01       3.199627573536e-01 
       9.476044103039e-03       3.989951031995e-01      -7.953946583958e+02      -7.961367828776e+02       4.017843732357e-01       3.349663664453e-01      -7.957498497166e+02       3.186969115890e-01       3.186969124215e-01 
       9.586421668641e-03       3.974156410332e-01      -8.107958955158e+02      -8.115688225519e+02       4.001938683705e-01       3.297920760877e-01      -8.111717839977e+02       3.174352904878e-01       3.174352912287e-01 
       9.696840303463e-03       3.958416175911e-01      -8.262813462785e+02      -8.270859830944e+02       3.986088402204e-01       3.316033416934e-01      -8.266786659709e+02       3.161780105907e-01       3.161780113312e-01 
       9.807299365809e-03       3.942728290139e-01      -8.418488058521e+02      -8.426860956388e+02       3.970290835055e-01       3.386050658079e-01      -8.422683218607e+02       3.149249096991e-01       3.149249104900e-01 
