#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       3.598052419790e-01       7.768029194447e-07      -1.203179398191e+00       1.081053348332e-03       5.134286683300e-10       1.283571670825e-09       3.429134415133e-17       2.567143341650e-10      -9.023845486434e-01       1.081053348333e-03       6.011030351462e-01       6.992699876167e-01      -1.203179390723e+00       1.080991070245e-03       5.186679892404e-05      -9.023845602734e-01       1.081182615949e-03 
       3.768151874294e-01       8.135516878717e-07      -1.203243888899e+00       1.132134074942e-03       5.897650511219e-10       1.474412627805e-09       4.320480307591e-17       2.948825255609e-10      -9.024329166746e-01       1.132134074944e-03       6.011010213502e-01       6.992601393073e-01      -1.203243879916e+00       1.132062537395e-03       5.688569789828e-05      -9.024329306643e-01       1.132282549637e-03 
       3.938251328798e-01       8.503027206679e-07      -1.203310216239e+00       1.183211692707e-03       6.733177140980e-10       1.683294285245e-09       5.388276501921e-17       3.366588570490e-10      -9.024826621790e-01       1.183211692709e-03       6.010988934537e-01       6.992501214582e-01      -1.203310205519e+00       1.183130020368e-03       6.213620498500e-05      -9.024826788704e-01       1.183381187917e-03 
       4.108350783302e-01       8.870560178331e-07      -1.203378345708e+00       1.234286071963e-03       7.644128014012e-10       1.911032003503e-09       6.657523995967e-17       3.822064007006e-10      -9.025337592811e-01       1.234286071965e-03       6.010966588964e-01       6.992399426765e-01      -1.203378333013e+00       1.234193349932e-03       6.761829778595e-05      -9.025337790478e-01       1.234478482804e-03 
       4.278450237806e-01       9.238115793675e-07      -1.203448286362e+00       1.285357126226e-03       8.633764983436e-10       2.158441245859e-09       8.155483657081e-17       4.316882491718e-10      -9.025862147716e-01       1.285357126228e-03       6.010943156925e-01       6.992296006802e-01      -1.203448271429e+00       1.285252400034e-03       7.333195313382e-05      -9.025862380200e-01       1.285574429476e-03 
       4.514408048365e-01       9.748017461467e-07      -1.203548299249e+00       1.356195955099e-03       1.014294495653e-09       2.535736239134e-09       1.066791045369e-16       5.071472478267e-10      -9.026612244367e-01       1.356195955102e-03       6.010908866150e-01       6.992149857142e-01      -1.203548280739e+00       1.356072922713e-03       8.164115316423e-05      -9.026612532524e-01       1.356451214096e-03 
       4.750365858924e-01       1.025796270152e-06      -1.203651824297e+00       1.427027980630e-03       1.181852188921e-09       2.954630472302e-09       1.376474249187e-16       5.909260944604e-10      -9.027388682228e-01       1.427027980634e-03       6.010872425137e-01       6.992000498472e-01      -1.203651801602e+00       1.426884623605e-03       9.039582616654e-05      -9.027389035502e-01       1.427325374181e-03 
       4.986323669484e-01       1.076795151384e-06      -1.203758822711e+00       1.497852902279e-03       1.366920348962e-09       3.417300872405e-09       1.754252432577e-16       6.834601744811e-10      -9.028191170332e-01       1.497852902284e-03       6.010833916768e-01       6.991848027233e-01      -1.203758795158e+00       1.497687096515e-03       9.959590282211e-05      -9.028191599179e-01       1.498196827003e-03 
       5.222281480043e-01       1.127798389841e-06      -1.203869298151e+00       1.568670468645e-03       1.570369814724e-09       3.925924536810e-09       2.210790425998e-16       7.851849073620e-10      -9.029019736134e-01       1.568670468651e-03       6.010793332631e-01       6.991692433705e-01      -1.203869265000e+00       1.568479984377e-03       1.092413108374e-04      -9.029020252074e-01       1.569065538915e-03 
       5.458239290602e-01       1.178805985525e-06      -1.203983282032e+00       1.639480469558e-03       1.793071495011e-09       4.482678737527e-09       2.757813969853e-16       8.965357475053e-10      -9.029874615242e-01       1.639480469566e-03       6.010750604190e-01       6.991533638765e-01      -1.203983242469e+00       1.639262971347e-03       1.193319750122e-04      -9.029875230908e-01       1.639931517432e-03 
