# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       7.204683116158e+13       1.509204356504e-25       6.668415153399e-09       1.080557368141e+22       1.445351351216e+04       2.006127581065e-10       1.041329847702e+18       3.849518645840e-09       7.413761450905e+43       9.303390454300e+32       4.923166485034e+33       3.420412866716e+43       1.140137622239e+43       8.418679402403e+42       2.806226467468e+42       2.778134729041e-08       1.167604225845e+44       3.320175407383e-06       3.050139607581e+00 
       7.154600909790e+13       1.530407168509e-25       6.713889888488e-09       1.065586937260e+22       1.445351351216e+04       2.020170474132e-10       1.034091209237e+18       3.876465276361e-09       7.209758631097e+43       9.110722872733e+32       4.821210688920e+33       3.326294128969e+43       1.108764709656e+43       8.187024479524e+42       2.729008159841e+42       2.778134729041e-08       1.135475520859e+44       3.390817437327e-06       2.986595032423e+00 
       7.104866841896e+13       1.551907858819e-25       6.761183612980e-09       1.050823912119e+22       1.445351351216e+04       2.034311667451e-10       1.026902889014e+18       3.903600533295e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       3.234765235530e+43       1.078255078510e+43       7.961743953476e+42       2.653914651159e+42       2.778134729041e-08       1.104230894281e+44       3.461459467271e-06       2.925644113394e+00 
       7.055478492449e+13       1.573710612327e-25       6.808477337472e-09       1.036265419244e+22       1.445351351216e+04       2.048551849124e-10       1.019764537254e+18       3.930925737028e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       3.145754922232e+43       1.048584974077e+43       7.742662421402e+42       2.580887473801e+42       2.778134729041e-08       1.073846019121e+44       3.532101497215e-06       2.867131231126e+00 
       7.006433458242e+13       1.595819672720e-25       6.855771061964e-09       1.021908624972e+22       1.445351351216e+04       2.062891712067e-10       1.012675806607e+18       3.958442217187e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       3.059193885866e+43       1.019731295289e+43       7.529609306968e+42       2.509869768989e+42       2.778134729041e-08       1.044297237792e+44       3.602743527159e-06       2.810912971692e+00 
       6.957729352772e+13       1.618239343302e-25       6.904883775860e-09       1.007750734898e+22       1.445351351216e+04       2.077331954052e-10       1.005636352142e+18       3.986151312707e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       2.975014730226e+43       9.916715767419e+42       7.322418727551e+42       2.440806242517e+42       2.778134729041e-08       1.015561543687e+44       3.673385557104e-06       2.756856953006e+00 
       6.909363806129e+13       1.640973987835e-25       6.952177500352e-09       9.937889933305e+21       1.445351351216e+04       2.091873277730e-10       9.986458313231e+17       4.014054371895e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       2.893151913631e+43       9.643839712102e+42       7.120929365083e+42       2.373643121694e+42       2.778134729041e-08       9.876165632649e+43       3.744027587048e-06       2.704840784081e+00 
       6.861334464875e+13       1.664028031390e-25       7.001290214248e-09       9.800206827586e+21       1.445351351216e+04       2.106516390674e-10       9.917039039951e+17       4.042152752498e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       2.813541697896e+43       9.378472326319e+42       6.924984340449e+42       2.308328113483e+42       2.778134729041e-08       9.604405386347e+43       3.814669616992e-06       2.654751139932e+00 
       6.813638991932e+13       1.687405961203e-25       7.050402928144e-09       9.664431233193e+21       1.445351351216e+04       2.121262005409e-10       9.848102323685e+17       4.070447821766e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       2.736122098706e+43       9.120406995687e+42       6.734431091341e+42       2.244810363780e+42       2.778134729041e-08       9.340123106111e+43       3.885311646936e-06       2.606482937388e+00 
       6.766275066466e+13       1.711112327552e-25       7.099515642039e-09       9.530536722776e+21       1.445351351216e+04       2.136110839447e-10       9.779644810015e+17       4.098940956518e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       2.660832837355e+43       8.869442791182e+42       6.549121253477e+42       2.183040417826e+42       2.778134729041e-08       9.083113022419e+43       3.955953676881e-06       2.559938599220e+00 
