#scalar perturbations for mode k = 1.000000000000e+00 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm          
       5.999443953821e-03       1.294421682688e-08      -1.202260462733e+00       1.803179954325e-03       2.377993383308e-13       5.944983458270e-13       4.410064040859e-23       1.188996691654e-13      -9.016953470497e-01       1.803179954325e-03       6.011195602045e-01       6.994366873344e-01      -1.202260462727e+00       1.803177069713e-03       1.442411869751e-06      -9.016953470586e-01       1.803185952560e-03 
       6.410336381961e-03       1.383075607250e-08      -1.202262658120e+00       1.926675346983e-03       2.900817367389e-13       7.252043418473e-13       6.141789487283e-23       1.450408683695e-13      -9.016969935901e-01       1.926675346983e-03       6.011194688370e-01       6.994363939159e-01      -1.202262658113e+00       1.926671828162e-03       1.646753788822e-06      -9.016969936018e-01       1.926682663973e-03 
       6.821228810101e-03       1.471729663940e-08      -1.202264983211e+00       2.050170507653e-03       3.495151951811e-13       8.737879879526e-13       8.379244143299e-23       1.747575975905e-13      -9.016987374080e-01       2.050170507653e-03       6.011193688202e-01       6.994360849859e-01      -1.202264983201e+00       2.050166267878e-03       1.864627069427e-06      -9.016987374231e-01       2.050179323771e-03 
       7.643935832020e-03       1.649237140698e-08      -1.202269959613e+00       2.297437131957e-03       4.918467674260e-13       1.229616918565e-12       1.480739734273e-22       2.459233837130e-13      -9.017024697101e-01       2.297437131960e-03       6.011191542520e-01       6.994354370197e-01      -1.202269959598e+00       2.297431165634e-03       2.341532463408e-06      -9.017024697338e-01       2.297449538180e-03 
       8.466642853940e-03       1.826745147157e-08      -1.202275334817e+00       2.544702458695e-03       6.683637485698e-13       1.670909371425e-12       2.468604445249e-22       3.341818742849e-13      -9.017065011125e-01       2.544702458702e-03       6.011189221148e-01       6.994347571625e-01      -1.202275334794e+00       2.544694351139e-03       2.872684306012e-06      -9.017065011481e-01       2.544719317282e-03 
       9.289349875859e-03       2.004253683319e-08      -1.202281141327e+00       2.791966441684e-03       8.827454883602e-13       2.206863720901e-12       3.924854698004e-22       4.413727441801e-13      -9.017108559949e-01       2.791966441694e-03       6.011186611878e-01       6.994340372874e-01      -1.202281141293e+00       2.791955733576e-03       3.458082238490e-06      -9.017108560466e-01       2.791988707691e-03 
       1.011205689778e-02       2.181762749184e-08      -1.202287375411e+00       3.039228965085e-03       1.138671304260e-12       2.846678260649e-12       5.999238352415e-22       5.693356521299e-13      -9.017155315581e-01       3.039228965097e-03       6.011183730753e-01       6.994332783273e-01      -1.202287375364e+00       3.039215152475e-03       4.097725744318e-06      -9.017155316307e-01       3.039257686367e-03 
       1.093476391970e-02       2.359272344750e-08      -1.202294032638e+00       3.286489908352e-03       1.439820485510e-12       3.599551213775e-12       8.870481576689e-22       7.199102427549e-13      -9.017205244788e-01       3.286489908365e-03       6.011180606817e-01       6.994324813894e-01      -1.202294032575e+00       3.286472442656e-03       4.791614194214e-06      -9.017205245781e-01       3.286526225560e-03 
       1.175747094162e-02       2.536782470019e-08      -1.202301102534e+00       3.533749128834e-03       1.789872276965e-12       4.474680692412e-12       1.274885533808e-21       8.949361384824e-13      -9.017258269004e-01       3.533749128849e-03       6.011177267894e-01       6.994316490920e-01      -1.202301102449e+00       3.533727416836e-03       5.539746945657e-06      -9.017258270331e-01       3.533794275415e-03 
       1.258017796354e-02       2.714293124990e-08      -1.202308623311e+00       3.781006637040e-03       2.192505966633e-12       5.481264916583e-12       1.787874265565e-21       1.096252983317e-12      -9.017314674831e-01       3.781006637057e-03       6.011173624911e-01       6.994307718813e-01      -1.202308623199e+00       3.780980040893e-03       6.342123370984e-06      -9.017314676570e-01       3.781061939235e-03 
       1.379626318013e-02       2.976681649352e-08      -1.202320493945e+00       4.146486978222e-03       2.891777718026e-12       7.229444295066e-12       2.836040204796e-21       1.445888859013e-12      -9.017403704588e-01       4.146486978243e-03       6.011167832932e-01       6.994294109741e-01      -1.202320493784e+00       4.146451899545e-03       7.627504934031e-06      -9.017403707104e-01       4.146559918054e-03 
       1.501234839672e-02       3.239071331078e-08      -1.202333304972e+00       4.511962855162e-03       3.725858274317e-12       9.314645685792e-12       4.326632929799e-21       1.862929137158e-12      -9.017499787289e-01       4.511962855188e-03       6.011161459551e-01       6.994279631197e-01      -1.202333304746e+00       4.511917658642e-03       9.031401292383e-06      -9.017499790816e-01       4.512056832806e-03 
       1.622843361332e-02       3.501462170166e-08      -1.202347054493e+00       4.877433919217e-03       4.706629715316e-12       1.176657428829e-11       6.386921899507e-21       2.353314857658e-12      -9.017602908697e-01       4.877433919247e-03       6.011154509346e-01       6.994264287907e-01      -1.202347054184e+00       4.877376825395e-03       1.055380983947e-05      -9.017602913514e-01       4.877552634528e-03 
       1.744451882991e-02       3.763854166616e-08      -1.202361736698e+00       5.242899801726e-03       5.845973805334e-12       1.461493451334e-11       9.166533649676e-21       2.922986902667e-12      -9.017713025236e-01       5.242899801761e-03       6.011146996241e-01       6.994248094376e-01      -1.202361736286e+00       5.242828887005e-03       1.219472775660e-05      -9.017713031667e-01       5.243047254230e-03 
       1.866060404650e-02       4.026247320429e-08      -1.202377331063e+00       5.608360053604e-03       7.155771862207e-12       1.788942965552e-11       1.283926254487e-20       3.577885931104e-12      -9.017829982973e-01       5.608360053643e-03       6.011138964758e-01       6.994231101894e-01      -1.202377330523e+00       5.608273250247e-03       1.395415202156e-05      -9.017829991393e-01       5.608540542494e-03 
       1.987668926310e-02       4.288641631604e-08      -1.202393866226e+00       5.973814457495e-03       8.647905100165e-12       2.161976275041e-11       1.760488228110e-20       4.323952550082e-12      -9.017953996695e-01       5.973814457540e-03       6.011130352184e-01       6.994213238841e-01      -1.202393865531e+00       5.973709553630e-03       1.583207941107e-05      -9.017954007534e-01       5.974032581623e-03 
       2.109277447969e-02       4.551037100142e-08      -1.202411328284e+00       6.339262595592e-03       1.033425408813e-11       2.583563522033e-11       2.369095583457e-20       5.167127044066e-12      -9.018084962132e-01       6.339262595642e-03       6.011121187796e-01       6.994194539949e-01      -1.202411327403e+00       6.339137235215e-03       1.782850650188e-05      -9.018084975878e-01       6.339523253463e-03 
       2.230885969628e-02       4.813433726042e-08      -1.202429720730e+00       6.704704135419e-03       1.222669905348e-11       3.056674763370e-11       3.135464671887e-20       6.113349526740e-12      -9.018222905477e-01       6.704704135476e-03       6.011111463598e-01       6.994174996461e-01      -1.202429719627e+00       6.704555818396e-03       1.994342967040e-05      -9.018222922677e-01       6.705012525184e-03 
       2.353269821873e-02       5.077504463433e-08      -1.202449179756e+00       7.072468641321e-03       1.435129988177e-11       3.587824970443e-11       4.095194781651e-20       7.175649940887e-12      -9.018368848170e-01       7.072468641384e-03       6.011101090219e-01       6.994154450624e-01      -1.202449178390e+00       7.072294551379e-03       2.219146464668e-05      -9.018368869466e-01       7.072830618422e-03 
       2.475653674117e-02       5.341576372991e-08      -1.202469564976e+00       7.440225654640e-03       1.670877239245e-11       4.177193098114e-11       5.276745197579e-20       8.354386196227e-12      -9.018521737318e-01       7.440225654710e-03       6.011090184419e-01       6.994133089568e-01      -1.202469563303e+00       7.440022966800e-03       2.455950349325e-05      -9.018521763401e-01       7.440647092591e-03 
       2.598037526361e-02       5.605649454717e-08      -1.202490901358e+00       7.807974974740e-03       1.931122418681e-11       4.827806046703e-11       6.716520948061e-20       9.655612093405e-12      -9.018681760188e-01       7.807974974816e-03       6.011078692311e-01       6.994110850839e-01      -1.202490899330e+00       7.807740717130e-03       2.704754186981e-05      -9.018681791825e-01       7.808462052446e-03 
       2.720421378605e-02       5.869723708610e-08      -1.202513172852e+00       8.175716138018e-03       2.217076167975e-11       5.542690419938e-11       8.454708293613e-20       1.108538083988e-11      -9.018848796391e-01       8.175716138102e-03       6.011066648538e-01       6.994087774536e-01      -1.202513170413e+00       8.175447191881e-03       2.965557523136e-05      -9.018848834423e-01       8.176275339766e-03 
       2.842805230850e-02       6.133799134670e-08      -1.202536395571e+00       8.543448902321e-03       2.529949118421e-11       6.324872796053e-11       1.053546194334e-19       1.264974559211e-11      -9.019022966784e-01       8.543448902413e-03       6.011054017894e-01       6.994063820338e-01      -1.202536392663e+00       8.543142002017e-03       3.238359883848e-05      -9.019023012135e-01       8.544087017772e-03 
       2.965189083094e-02       6.397875732898e-08      -1.202560552762e+00       8.911172788554e-03       2.870951767184e-11       7.177379417959e-11       1.300709143444e-19       1.435475883592e-11      -9.019204145714e-01       8.911172788654e-03       6.011040836417e-01       6.994039030095e-01      -1.202560549320e+00       8.910824521569e-03       3.523160773669e-05      -9.019204199394e-01       8.911896912734e-03 
       3.087572935338e-02       6.661953503293e-08      -1.202585652552e+00       9.278887498986e-03       3.241294588601e-11       8.103236471503e-11       1.592224838604e-19       1.620647294301e-11      -9.019392394139e-01       9.278887499095e-03       6.011027086643e-01       6.994013383451e-01      -1.202585648505e+00       9.278494305934e-03       3.819959674429e-05      -9.019392457246e-01       9.279705032280e-03 
