# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_ddec[0]        15:(.)p_ddec[0]          16:(.)rho_lambda         17:(.)rho_crit           18:gr.fac. D             19:gr.fac. f          
       7.999391317146e+13       1.143540399402e-25       5.609763320535e-09       1.426081569398e+22       1.395428497666e+04       1.744418346775e-10       1.116257860793e+18       3.238560002056e-09       1.126696229756e+44       1.273407557963e+33       6.738615821776e+33       7.790706870041e+43       2.596902290014e+43       1.279417257356e+43       4.264724191187e+42       4.623070212068e-08       2.033708642576e+44       2.795031489233e-06       4.479892548635e+00 
       7.943784823382e+13       1.159605998473e-25       5.647962098010e-09       1.406324121811e+22       1.395428497666e+04       1.756629275202e-10       1.108498372188e+18       3.261229922070e-09       1.095693180972e+44       1.247036058696e+33       6.599063169453e+33       7.576331727233e+43       2.525443909078e+43       1.244211818128e+43       4.147372727093e+42       4.623070212068e-08       1.977747535586e+44       2.882376223271e-06       4.344138228979e+00 
       7.888564869297e+13       1.175897303145e-25       5.687979864888e-09       1.386840401017e+22       1.395428497666e+04       1.768925680129e-10       1.100792822430e+18       3.284058531524e-09       1.065543236164e+44       1.221210697207e+33       6.462400568037e+33       7.367855497401e+43       2.455951832467e+43       1.209975119117e+43       4.033250397056e+42       4.623070212068e-08       1.923326297893e+44       2.969720957309e-06       4.216369457538e+00 
       7.833728767921e+13       1.192417484357e-25       5.727997631766e-09       1.367626614707e+22       1.395428497666e+04       1.781308159890e-10       1.093140836574e+18       3.307046941245e-09       1.036222920661e+44       1.195920163313e+33       6.328568166325e+33       7.165115861474e+43       2.388371953825e+43       1.176680503714e+43       3.922268345713e+42       4.623070212068e-08       1.870402557255e+44       3.057065691348e-06       4.095901758752e+00 
       7.779273850965e+13       1.209169757595e-25       5.768015398644e-09       1.348679023111e+22       1.395428497666e+04       1.793777317009e-10       1.085542042279e+18       3.330196269833e-09       1.007709405738e+44       1.171153381058e+33       6.197507352595e+33       6.967954966877e+43       2.322651655626e+43       1.144302048815e+43       3.814340162716e+42       4.623070212068e-08       1.818935107381e+44       3.144410425386e-06       3.982126709897e+00 
       7.725197468684e+13       1.226157383519e-25       5.808033165522e-09       1.329993938273e+22       1.395428497666e+04       1.806333758228e-10       1.077996069790e+18       3.353507643722e-09       9.799804908440e+43       1.146899503863e+33       6.069160728938e+33       6.776219304629e+43       2.258739768210e+43       1.112814544635e+43       3.709381815451e+42       4.623070212068e-08       1.768883875843e+44       3.231755159425e-06       3.874501663684e+00 
       7.671496989756e+13       1.243383668600e-25       5.849869921803e-09       1.311567723328e+22       1.395428497666e+04       1.818978094536e-10       1.070502551926e+18       3.376982197228e-09       9.530145863146e+43       1.123147909775e+33       5.943472086121e+33       6.589759589823e+43       2.196586529941e+43       1.082193475084e+43       3.607311583612e+42       4.623070212068e-08       1.720209892876e+44       3.319099893463e-06       3.772541093587e+00 
       7.618169801148e+13       1.260851965760e-25       5.889887688681e-09       1.293396791800e+22       1.395428497666e+04       1.831710941197e-10       1.063061124058e+18       3.400621072608e-09       9.267906965640e+43       1.099888196816e+33       5.820386378973e+33       6.408430645389e+43       2.136143548463e+43       1.052414998671e+43       3.508049995570e+42       4.623070212068e-08       1.672875261039e+44       3.406444627502e-06       3.675809270674e+00 
       7.565213307992e+13       1.278565675027e-25       5.931724444963e-09       1.275477606901e+22       1.395428497666e+04       1.844532917786e-10       1.055671424089e+18       3.424425420116e-09       9.012884037370e+43       1.077110178424e+33       5.699849702270e+33       6.232091289063e+43       2.077363763021e+43       1.023455929950e+43       3.411519766500e+42       4.623070212068e-08       1.626843125706e+44       3.493789361540e-06       3.583914038908e+00 
       7.512624933457e+13       1.296528244196e-25       5.973561201245e-09       1.257806680842e+22       1.395428497666e+04       1.857444648210e-10       1.048333092442e+18       3.448396398057e-09       8.764878518120e+43       1.054803878997e+33       5.581809267138e+33       6.060604223464e+43       2.020201407821e+43       9.952937214624e+42       3.317645738208e+42       4.623070212068e-08       1.582077646371e+44       3.581134095578e-06       3.496501501373e+00 
       7.460402118627e+13       1.314743169498e-25       6.015397957526e-09       1.240380574156e+22       1.395428497666e+04       1.870446760748e-10       1.041045772038e+18       3.472535172843e-09       8.523697311413e+43       1.032959529521e+33       5.466213377923e+33       5.893835929190e+43       1.964611976397e+43       9.679064461825e+42       3.226354820608e+42       4.623070212068e-08       1.538543968743e+44       3.668478829617e-06       3.413251465626e+00 
       7.408542322370e+13       1.333213996286e-25       6.057234713808e-09       1.223195895027e+22       1.395428497666e+04       1.883539888073e-10       1.033809108280e+18       3.496842919053e-09       8.289152634162e+43       1.011567563292e+33       5.353011409563e+33       5.731656560862e+43       1.910552186954e+43       9.412727804463e+42       3.137575934821e+42       4.623070212068e-08       1.496208197611e+44       3.755823563655e-06       3.333873524565e+00 
       7.357043021222e+13       1.351944319720e-25       6.099071470089e-09       1.206249298631e+22       1.395428497666e+04       1.896724667289e-10       1.026622749037e+18       3.521320819486e-09       8.061061870468e+43       9.906186117280e+32       5.242153785404e+33       5.573939846030e+43       1.857979948677e+43       9.153719873481e+42       3.051239957827e+42       4.623070212068e-08       1.455037370447e+44       3.843168297693e-06       3.258103671734e+00 
       7.305901709257e+13       1.370937785468e-25       6.140908226371e-09       1.189537486483e+22       1.395428497666e+04       1.910001739960e-10       1.019486344624e+18       3.545970065222e-09       7.839247429430e+43       9.701035002625e+32       5.133591955499e+33       5.420562986853e+43       1.806854328951e+43       8.901839005950e+42       2.967279668650e+42       4.623070212068e-08       1.414999431749e+44       3.930513031732e-06       3.185701367918e+00 
       7.255115897971e+13       1.390198090416e-25       6.184563972056e-09       1.173057205799e+22       1.395428497666e+04       1.923371752140e-10       1.012399547790e+18       3.570791855679e-09       7.623536606878e+43       9.500132443301e+32       5.027278375339e+33       5.271406564491e+43       1.757135521497e+43       8.656889088056e+42       2.885629696019e+42       4.623070212068e-08       1.376063208077e+44       4.017857765770e-06       3.116446990355e+00 
       7.204683116158e+13       1.409728983388e-25       6.228219717741e-09       1.156805248858e+22       1.395428497666e+04       1.936835354405e-10       1.005362013694e+18       3.595787398668e-09       7.413761450905e+43       9.303390454301e+32       4.923166485034e+33       5.126354446125e+43       1.708784815375e+43       8.418679402403e+42       2.806226467468e+42       4.623070212068e-08       1.338198383786e+44       4.105202499809e-06       3.050139607581e+00 
       7.154600909790e+13       1.429534265875e-25       6.271875463426e-09       1.140778452381e+22       1.395428497666e+04       1.950393201886e-10       9.983733998948e+17       3.620957910459e-09       7.209758631098e+43       9.110722872733e+32       4.821210688920e+33       4.985293694539e+43       1.661764564846e+43       8.187024479524e+42       2.729008159841e+42       4.623070212068e-08       1.301375477416e+44       4.192547233847e-06       2.986595032423e+00 
       7.104866841896e+13       1.449617792777e-25       6.315531209111e-09       1.124973696913e+22       1.395428497666e+04       1.964045954299e-10       9.914333663305e+17       3.646304615832e-09       7.011369311369e+43       8.922045320087e+32       4.721366335593e+33       4.848114480184e+43       1.616038160061e+43       7.961743953476e+42       2.653914651159e+42       4.623070212068e-08       1.265565818746e+44       4.279891967885e-06       2.925644113394e+00 
       7.055478492449e+13       1.469983473147e-25       6.359186954796e-09       1.109387906219e+22       1.395428497666e+04       1.977794275979e-10       9.845415753034e+17       3.671828748142e-09       6.818439026289e+43       8.737275165282e+32       4.623589698350e+33       4.714709995664e+43       1.571569998555e+43       7.742662421402e+42       2.580887473801e+42       4.623070212068e-08       1.230741526464e+44       4.367236701924e-06       2.867131231127e+00 
       7.006433458242e+13       1.490635270961e-25       6.404661689885e-09       1.094018046681e+22       1.395428497666e+04       1.991638835911e-10       9.776976914631e+17       3.697531549379e-09       6.630817560821e+43       8.556331488473e+32       4.527837956045e+33       4.584976372582e+43       1.528325457527e+43       7.529609306968e+42       2.509869768989e+42       4.623070212068e-08       1.196875486464e+44       4.454581435962e-06       2.810912971693e+00 
       6.957729352772e+13       1.511577205883e-25       6.448317435570e-09       1.078861126712e+22       1.395428497666e+04       2.005580307762e-10       9.709013817906e+17       3.723414270224e-09       6.448358833359e+43       8.379135045620e+32       4.434069174330e+33       4.458812600663e+43       1.486270866888e+43       7.322418727551e+42       2.440806242517e+42       4.623070212068e-08       1.163941330730e+44       4.541926170001e-06       2.756856953006e+00 
       6.909363806129e+13       1.532813354048e-25       6.493792170659e-09       1.063914196170e+22       1.395428497666e+04       2.019619369917e-10       9.641523155815e+17       3.749478170116e-09       6.270920781994e+43       8.205608233777e+32       4.342242287292e+33       4.336120449107e+43       1.445373483036e+43       7.120929365083e+42       2.373643121694e+42       4.623070212068e-08       1.131913416813e+44       4.629270904039e-06       2.704840784082e+00 
       6.861334464875e+13       1.554347848859e-25       6.539266905747e-09       1.049174345786e+22       1.395428497666e+04       2.033756705506e-10       9.574501644305e+17       3.775724517306e-09       6.098365253901e+43       8.035675057108e+32       4.252317079467e+33       4.216804390113e+43       1.405601463371e+43       6.924984340449e+42       2.308328113483e+42       4.623070212068e-08       1.100766807856e+44       4.716615638077e-06       2.654751139932e+00 
       6.813638991932e+13       1.576184881788e-25       6.584741640836e-09       1.034638706598e+22       1.395428497666e+04       2.047993002445e-10       9.507946022150e+17       3.802154588927e-09       5.930557897776e+43       7.869261093605e+32       4.164254168233e+33       4.100771524495e+43       1.366923841498e+43       6.734431091341e+42       2.244810363780e+42       4.623070212068e-08       1.070477253190e+44       4.803960372116e-06       2.606482937388e+00 
       6.766275066466e+13       1.598328703192e-25       6.632035365328e-09       1.020304449388e+22       1.395428497666e+04       2.062328953462e-10       9.441853050794e+17       3.828769671049e-09       5.767368059232e+43       7.706293462495e+32       4.078014986553e+33       3.987931509352e+43       1.329310503117e+43       6.549121253477e+42       2.183040417826e+42       4.623070212068e-08       1.041021169442e+44       4.891305106154e-06       2.559938599221e+00 
       6.719240383780e+13       1.620783623143e-25       6.677510100417e-09       1.006168784140e+22       1.395428497666e+04       2.076765256136e-10       9.376219514195e+17       3.855571058746e-09       5.608668679067e+43       7.546700792321e+32       3.993561766094e+33       3.878196487731e+43       1.292732162577e+43       6.368910545077e+42       2.122970181692e+42       4.623070212068e-08       1.012375622178e+44       4.978649840193e-06       2.515027395726e+00 
       6.672532655193e+13       1.643554012264e-25       6.724803824909e-09       9.922289594884e+21       1.395428497666e+04       2.091302612929e-10       9.311042218664e+17       3.882560056157e-09       5.454336194339e+43       7.390413189687e+32       3.910857520680e+33       3.771481020218e+43       1.257160340073e+43       6.193658654535e+42       2.064552884845e+42       4.623070212068e-08       9.845183080475e+43       5.065994574231e-06       2.471664854420e+00 
       6.626149607938e+13       1.666644302583e-25       6.772097549401e-09       9.784822621871e+21       1.395428497666e+04       2.105941731219e-10       9.246317992715e+17       3.909737976550e-09       5.304250442161e+43       7.237362208646e+32       3.829866030097e+33       3.667702018415e+43       1.222567339472e+43       6.023229131166e+42       2.007743043722e+42       4.623070212068e-08       9.574275374148e+43       5.153339308269e-06       2.429772229769e+00 
       6.580088985043e+13       1.690058988389e-25       6.819391273893e-09       9.649260165803e+21       1.395428497666e+04       2.120683323338e-10       9.182043686907e+17       3.937106142386e-09       5.158294566141e+43       7.087480820724e+32       3.750551824231e+33       3.566778680252e+43       1.188926226751e+43       5.857489278968e+42       1.952496426323e+42       4.623070212068e-08       9.310822174736e+43       5.240684042308e-06       2.389276025940e+00 
       6.534348545226e+13       1.713802627117e-25       6.866684998386e-09       9.515575840817e+21       1.395428497666e+04       2.135528106601e-10       9.118216173691e+17       3.964665885382e-09       5.016354925399e+43       6.940703385568e+32       3.672880167530e+33       3.468632427069e+43       1.156210809023e+43       5.696310053305e+42       1.898770017768e+42       4.623070212068e-08       9.054618358235e+43       5.328028776346e-06       2.350107566498e+00 
       6.488926062786e+13       1.737879840225e-25       6.915797712281e-09       9.383743626609e+21       1.395428497666e+04       2.150476803348e-10       9.054832347260e+17       3.992418546580e-09       4.878321006084e+43       6.796965622196e+32       3.596817043797e+33       3.373186842437e+43       1.124395614146e+43       5.539565960435e+42       1.846521986812e+42       4.623070212068e-08       8.805464444992e+43       5.415373510385e-06       2.312202605748e+00 
       6.443819327494e+13       1.762295314101e-25       6.963091436774e-09       9.253737863368e+21       1.395428497666e+04       2.165530140971e-10       8.991889123396e+17       4.020365476405e-09       4.744085335330e+43       6.656204580847e+32       3.522329141287e+33       3.280367612664e+43       1.093455870888e+43       5.387134959799e+42       1.795711653266e+42       4.623070212068e-08       8.563166444393e+43       5.502718244423e-06       2.275500977086e+00 
       6.399026144483e+13       1.787053800968e-25       7.012204150669e-09       9.125533246785e+21       1.395428497666e+04       2.180688851958e-10       8.929383439321e+17       4.048508034740e-09       4.613543397580e+43       6.518358615410e+32       3.449383838124e+33       3.190102468928e+43       1.063367489643e+43       5.238898369000e+42       1.746299456333e+42       4.623070212068e-08       8.327535703819e+43       5.590062978461e-06       2.239946274319e+00 
       6.354544334144e+13       1.812160119818e-25       7.061316864565e-09       8.999104823127e+21       1.395428497666e+04       2.195953673921e-10       8.867312253546e+17       4.076847590983e-09       4.486593553207e+43       6.383367356428e+32       3.377949188008e+33       3.102321131014e+43       1.034107043671e+43       5.094740771397e+42       1.698246923799e+42       4.623070212068e-08       8.098388761763e+43       5.677407712500e-06       2.205485562407e+00 
