#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       2.289046919693e-01       5.265939414809e-07      -1.182752152256e+00       6.765790317379e-06       1.487362354112e-12       3.718405885280e-12       4.598159432139e-21       7.436811770559e-13      -8.870641141921e-01       6.765790317379e-06       5.913180658134e-01       7.043122200364e-01      -1.182752152256e+00       6.765788740782e-06       2.064802933466e-07      -8.870641141923e-01       6.765793647088e-06      -1.182752152256e+00       6.765788753847e-06       2.040526467481e-07       3.333333333333e-01 
       2.444342547895e-01       5.623344660235e-07      -1.182799052906e+00       7.224895097064e-06       1.811202659131e-12       4.528006647828e-12       6.385162824783e-21       9.056013295657e-13      -8.870992896793e-01       7.224895097064e-06       5.913353216364e-01       7.043005310855e-01      -1.182799052906e+00       7.224893177210e-06       2.354495088682e-07      -8.870992896795e-01       7.224899151318e-06      -1.182799052906e+00       7.224893194457e-06       2.324799096910e-07       3.333333333333e-01 
       2.763673569606e-01       6.358328597628e-07      -1.182894068302e+00       8.168969431719e-06       2.618173376699e-12       6.545433441747e-12       1.180048516568e-20       1.309086688349e-12      -8.871705512264e-01       8.168969431719e-06       5.913705793921e-01       7.042768591654e-01      -1.182894068302e+00       8.168966656517e-06       3.009925945926e-07      -8.871705512268e-01       8.168975291067e-06      -1.182894068302e+00       8.168966685313e-06       2.966744781440e-07       3.333333333333e-01 
       3.083004591316e-01       7.093392338829e-07      -1.182987740419e+00       9.113080774316e-06       3.635109314425e-12       9.087773286063e-12       2.039111446472e-20       1.817554657213e-12      -8.872408053144e-01       9.113080774316e-06       5.914056298217e-01       7.042535331142e-01      -1.182987740419e+00       9.113076921230e-06       3.745750410974e-07      -8.872408053150e-01       9.113088907787e-06      -1.182987740419e+00       9.113076966425e-06       3.685607538963e-07       3.333333333333e-01 
       3.402335613027e-01       7.828535883835e-07      -1.183080484743e+00       1.005722922675e-05       4.886330434610e-12       1.221582608653e-11       3.338562029593e-20       2.443165217305e-12      -8.873103635572e-01       1.005722922675e-05       5.914405242364e-01       7.042304490611e-01      -1.183080484742e+00       1.005722404747e-05       4.561972212707e-07      -8.873103635581e-01       1.005724015748e-05      -1.183080484742e+00       1.005722411509e-05       4.480999078329e-07       3.333333333333e-01 
       3.721666634738e-01       8.563759232649e-07      -1.183172598625e+00       1.100141513375e-05       6.396169121942e-12       1.599042280485e-11       5.229550485486e-20       3.198084560971e-12      -8.873794489688e-01       1.100141513375e-05       5.914752850332e-01       7.042075326685e-01      -1.183172598624e+00       1.100140835418e-05       5.458594827267e-07      -8.873794489701e-01       1.100142943896e-05      -1.183172598624e+00       1.100140845154e-05       5.352532875109e-07       3.333333333333e-01 
       4.040997656448e-01       9.299062385268e-07      -1.183264266424e+00       1.194563863641e-05       8.188970014778e-12       2.047242503695e-11       7.894472705131e-20       4.094485007389e-12      -8.874481998176e-01       1.194563863641e-05       5.915099352076e-01       7.041847378473e-01      -1.183264266422e+00       1.194562995667e-05       6.435621090803e-07      -8.874481998195e-01       1.194565694741e-05      -1.183264266423e+00       1.194563009252e-05       6.299823699820e-07       3.333333333333e-01 
       4.360328678159e-01       1.003444534169e-06      -1.183355605863e+00       1.288989974679e-05       1.028908998173e-11       2.572272495431e-11       1.154992682304e-19       5.144544990863e-12      -8.875167043975e-01       1.288989974679e-05       5.915444895014e-01       7.041620351667e-01      -1.183355605862e+00       1.288988884119e-05       7.493053672441e-07      -8.875167044000e-01       1.288992274895e-05      -1.183355605862e+00       1.288988902582e-05       7.322488148389e-07       3.333333333333e-01 
       4.679659699870e-01       1.076990810193e-06      -1.183446681544e+00       1.383419823474e-05       1.272089795359e-11       3.180224488398e-11       1.644967371010e-19       6.360448976796e-12      -8.875850111582e-01       1.383419823474e-05       5.915789531773e-01       7.041394084769e-01      -1.183446681542e+00       1.383418475177e-05       8.630895665617e-07      -8.875850111615e-01       1.383422666743e-05      -1.183446681542e+00       1.383418499713e-05       8.420145212695e-07       3.333333333333e-01 
       5.107116679633e-01       1.175452455582e-06      -1.183568252827e+00       1.509829551084e-05       1.653775775454e-11       4.134439438636e-11       2.547430154076e-19       8.268878877272e-12      -8.876761896201e-01       1.509829551084e-05       5.916249450899e-01       7.041092217794e-01      -1.183568252824e+00       1.509827798261e-05       1.027987744995e-06      -8.876761896248e-01       1.509833246427e-05      -1.183568252824e+00       1.509827833112e-05       1.000619133553e-06       3.333333333333e-01 
